Model,Mean Value (Key 6),Rank (Key 6)
ecfp_prott5_KKM,0.9001300615148052,1.0
ecfp_esm1b_KKM,0.8898551391707026,2.0
unimolv2_esm1b_KKM,0.8848931677975521,3.0
molgen_esm2_KKM,0.884154931696257,4.0
unimolv2_prott5_KKM,0.8826594135589939,5.0
unimolv2_esm2_KKM,0.8798759684161388,6.0
unimolv1_esm2_KKM,0.8763997671715453,7.0
molebert_esm1b_KKM,0.8741616580007815,8.0
smitrans_esm1b_KKM,0.8714112234347722,9.0
ecfp_esm2_KKM,0.8696095094008172,10.0
ecfp_esmc_KKM,0.8685446812581186,11.0
chemberta2_prott5_KKM,0.8653297788428741,12.0
unimolv1_esm1b_KKM,0.8634434203182624,13.0
chemberta2_esm1b_KKM,0.8630231718496724,14.0
maccskeys_esm1b_KKM,0.8625293254282159,15.0
molgen_esmc_KKM,0.862058055102849,16.0
molgen_prott5_KKM,0.8610262804780578,17.0
molebert_esm2_KKM,0.8607376690748817,18.0
unimolv1_prott5_KKM,0.8545118906859566,19.0
molebert_prott5_KKM,0.8542290474737106,20.0
maccskeys_esmc_KKM,0.8529784635990737,21.0
maccskeys_esm2_KKM,0.8525501909697223,22.0
unimolv1_prollama_KKM,0.8522095953760846,23.0
molgen_esm1b_KKM,0.8513865404679525,24.0
molebert_esmc_KKM,0.85051396601863,25.0
smitrans_prott5_KKM,0.8504268859389577,26.0
smitrans_esm2_KKM,0.8484194846962902,27.0
smitrans_esmc_KKM,0.846154477800701,28.0
unimolv1_esmc_KKM,0.844622403878604,29.0
maccskeys_prott5_KKM,0.8421799693446392,30.0
rdkitfp_prott5_KKM,0.8420902902152501,31.0
unimolv2_esmc_KKM,0.8394463818073034,32.0
molgen_prollama_KKM,0.8394274176312502,33.0
chemberta2_esmc_KKM,0.8375410964925558,34.0
rdkitfp_esm1b_KKM,0.8373980188039496,35.0
chemberta2_prollama_KKM,0.8369975580636696,36.0
molebert_prollama_KKM,0.8367298388941494,37.0
unimolv2_prollama_KKM,0.8351077236418238,38.0
ecfp_prollama_KKM,0.8341049220383141,39.0
smitrans_prollama_KKM,0.8314973580545502,40.0
chemberta2_esm2_KKM,0.830302878272297,41.0
rdkitfp_esmc_KKM,0.811041522313042,42.0
rdkitfp_esm2_KKM,0.7951569297676737,43.0
rdkitfp_prollama_KKM,0.7739076813824644,44.0
maccskeys_prollama_KKM,0.7714464583041287,45.0
