ecfp_prollama_KKM: {1: 0.6235381371289315, 2: 0.7377063207212047, 3: 0.7841070662091914, 4: 0.6363442494256455, 5: -0.4659135151177427, 6: 0.9243419402044126}
rdkitfp_esm1b_KKM: {1: 0.6809940427417968, 2: 0.7454465403745463, 3: 0.8947748344986851, 4: 0.6372651667312168, 5: -0.5390334359291853, 6: 0.9436379520196597}
rdkitfp_esm2_KKM: {1: 0.6860169131578779, 2: 0.7370696631684788, 3: 0.9014948447182742, 4: 0.6514420099846119, 5: -0.521046950920695, 6: 0.9505602617741387}
rdkitfp_esmc_KKM: {1: 0.6815919582703607, 2: 0.753790114515757, 3: 0.8991778332162129, 4: 0.6634789415978535, 5: -0.10374824035387586, 6: 0.9460806159428509}
rdkitfp_prott5_KKM: {1: 0.6915521025626534, 2: 0.7530803726457328, 3: 0.8871452121617394, 4: 0.6553760053535149, 5: 0.06261494783806532, 6: 0.9407640313717671}
rdkitfp_prollama_KKM: {1: 0.6038751183993651, 2: 0.7380340024588079, 3: 0.7764060042318894, 4: 0.6589171677315965, 5: -0.05285750140423562, 6: 0.9015088176624191}
maccskeys_esm1b_KKM: {1: 0.6735100103384772, 2: 0.7639554947408801, 3: 0.8922130987698259, 4: 0.7051256839968504, 5: -0.741857177849969, 6: 0.9575131009271576}
maccskeys_esm2_KKM: {1: 0.6682579302380627, 2: 0.7570417254405032, 3: 0.8951919695300812, 4: 0.689257014333712, 5: -0.6499448456627166, 6: 0.951801807957247}
maccskeys_esmc_KKM: {1: 0.6661097702564989, 2: 0.7715341049984051, 3: 0.8762262420917512, 4: 0.6910694280143896, 5: -0.20241447909492893, 6: 0.9513322973085401}
maccskeys_prott5_KKM: {1: 0.6843071044498432, 2: 0.7850134145852066, 3: 0.882561997176394, 4: 0.710094998353813, 5: -0.23945092969077475, 6: 0.9495662591136117}
maccskeys_prollama_KKM: {1: 0.5861088866229454, 2: 0.7458672741267796, 3: 0.8089965976372855, 4: 0.6971071577839858, 5: -0.7229642398514082, 6: 0.8681771019868366}
