Model,Mean Value (Key 4),Rank (Key 4)
maccskeys_esm2_KKM,0.7253108958354367,1.0
maccskeys_prott5_KKM,0.7169796020659225,2.0
maccskeys_esm1b_KKM,0.7158853949862475,3.0
maccskeys_esmc_KKM,0.7081553318635323,4.0
molebert_esm1b_KKM,0.7035529586505688,5.0
smitrans_esm2_KKM,0.6986176402684101,6.0
smitrans_esmc_KKM,0.695904353160677,7.0
molebert_prott5_KKM,0.6940582305958349,8.0
molebert_esmc_KKM,0.6926489623369846,9.0
molebert_esm2_KKM,0.6896168293771388,10.0
smitrans_prott5_KKM,0.689502498208844,11.0
rdkitfp_esmc_KKM,0.6863922908956421,12.0
rdkitfp_prott5_KKM,0.6842111667310485,13.0
molgen_esmc_KKM,0.6828594072592654,14.0
chemberta2_esmc_KKM,0.6816494828667824,15.0
unimolv2_esmc_KKM,0.6797956848828675,16.0
unimolv1_esm1b_KKM,0.6781163178729723,17.0
rdkitfp_esm1b_KKM,0.6764439974375195,18.0
unimolv1_prott5_KKM,0.6751326554088856,19.0
maccskeys_prollama_KKM,0.6721760736414695,20.0
chemberta2_esm1b_KKM,0.6712708210184395,21.0
smitrans_esm1b_KKM,0.6673521452391489,22.0
unimolv2_esm2_KKM,0.6659702460492698,23.0
molgen_esm2_KKM,0.6655915410979694,24.0
chemberta2_esm2_KKM,0.6653140591422384,25.0
unimolv1_esm2_KKM,0.665230475945393,26.0
chemberta2_prott5_KKM,0.664355643103143,27.0
rdkitfp_esm2_KKM,0.6618795137956972,28.0
molgen_esm1b_KKM,0.6607183462203793,29.0
unimolv2_prott5_KKM,0.6606242383153552,30.0
unimolv2_esm1b_KKM,0.6589846391565943,31.0
unimolv1_esmc_KKM,0.6589723075862846,32.0
ecfp_esmc_KKM,0.6562941320410874,33.0
ecfp_esm1b_KKM,0.652829547643001,34.0
molgen_prott5_KKM,0.6507447427468858,35.0
ecfp_prott5_KKM,0.6495372673386998,36.0
ecfp_esm2_KKM,0.6410688497573067,37.0
smitrans_prollama_KKM,0.6295347626464264,38.0
unimolv1_prollama_KKM,0.6280182418616784,39.0
unimolv2_prollama_KKM,0.6210931850752601,40.0
molebert_prollama_KKM,0.619865127215061,41.0
rdkitfp_prollama_KKM,0.6188235463654642,42.0
molgen_prollama_KKM,0.6042192744922875,43.0
ecfp_prollama_KKM,0.6037639702480654,44.0
chemberta2_prollama_KKM,0.5998551862861282,45.0
