Model,Mean Value (Key 4),Rank (Key 4)
chemberta2_esmc_KM,0.8184867433295299,1.0
smitrans_esmc_KM,0.8183595166312323,2.0
molgen_esmc_KM,0.8121861092989562,3.0
unimolv1_esmc_KM,0.8090143388736288,4.0
unimolv1_esm1b_KM,0.8059798877311843,5.0
molgen_esm1b_KM,0.8056418998812861,6.0
unimolv2_esm1b_KM,0.8042758574383957,7.0
smitrans_esm1b_KM,0.8003563167771702,8.0
smitrans_prott5_KM,0.800272249848501,9.0
unimolv1_prott5_KM,0.8002075293936152,10.0
chemberta2_prollama_KM,0.7994152638617658,11.0
chemberta2_esm1b_KM,0.7992238792333246,12.0
molgen_prollama_KM,0.7983017954126576,13.0
unimolv1_esm2_KM,0.7975936490995033,14.0
chemberta2_prott5_KM,0.7966659865103819,15.0
molgen_prott5_KM,0.7960447279295291,16.0
unimolv2_esmc_KM,0.7943386331559154,17.0
smitrans_esm2_KM,0.7933915684241735,18.0
unimolv2_prott5_KM,0.7875132061164254,19.0
molgen_esm2_KM,0.7869230417666898,20.0
chemberta2_esm2_KM,0.7848106098210164,21.0
unimolv1_prollama_KM,0.7844032927185589,22.0
smitrans_prollama_KM,0.7830029166684401,23.0
molebert_esmc_KM,0.7779093207690015,24.0
unimolv2_esm2_KM,0.7774038680011175,25.0
unimolv2_prollama_KM,0.7768379230839325,26.0
rdkitfp_esmc_KM,0.770444049151931,27.0
maccskeys_esm1b_KM,0.7667002710574737,28.0
maccskeys_prott5_KM,0.7662153731172019,29.0
maccskeys_esmc_KM,0.7609745776937185,30.0
molebert_prott5_KM,0.7609188715654536,31.0
rdkitfp_prott5_KM,0.7590675546386582,32.0
ecfp_esm1b_KM,0.7577000581195169,33.0
molebert_esm1b_KM,0.7548597231318235,34.0
rdkitfp_esm1b_KM,0.753616231386364,35.0
maccskeys_esm2_KM,0.7531212775431723,36.0
rdkitfp_esm2_KM,0.74470719960919,37.0
molebert_prollama_KM,0.7432479221379582,38.0
ecfp_esm2_KM,0.7411308989323525,39.0
ecfp_prott5_KM,0.7404600348020111,40.0
ecfp_esmc_KM,0.7398739878475644,41.0
molebert_esm2_KM,0.7394288031668169,42.0
maccskeys_prollama_KM,0.7357606264562544,43.0
rdkitfp_prollama_KM,0.7155806762019593,44.0
ecfp_prollama_KM,0.7026044053109327,45.0
