Model,Mean Value (Key 5),Rank (Key 5)
ecfp_prott5_KCAT,0.8253280170869776,1.0
ecfp_esm2_KCAT,0.8122158576036117,2.0
ecfp_esm1b_KCAT,0.807529885982764,3.0
unimolv1_prott5_KCAT,0.800028113858318,4.0
rdkitfp_prott5_KCAT,0.7920966407330766,5.0
molebert_esm1b_KCAT,0.7891657423708688,6.0
unimolv2_esm1b_KCAT,0.7874150695387074,7.0
molgen_prott5_KCAT,0.7865072199334523,8.0
unimolv1_esmc_KCAT,0.784352745643597,9.0
unimolv2_prott5_KCAT,0.7814297108942385,10.0
molgen_esm2_KCAT,0.77846815134949,11.0
unimolv1_esm1b_KCAT,0.7770432593187595,12.0
unimolv1_esm2_KCAT,0.775927866750263,13.0
unimolv2_esmc_KCAT,0.7756267495151828,14.0
molebert_esmc_KCAT,0.7754165601189664,15.0
rdkitfp_esm2_KCAT,0.7753228348795858,16.0
molebert_esm2_KCAT,0.7691840347942668,17.0
ecfp_esmc_KCAT,0.7684662936688792,18.0
unimolv2_esm2_KCAT,0.7684206990303312,19.0
chemberta2_esm2_KCAT,0.7682242223493723,20.0
chemberta2_esmc_KCAT,0.766716042896588,21.0
rdkitfp_esm1b_KCAT,0.7658832373285499,22.0
smitrans_esmc_KCAT,0.7637379998148568,23.0
molgen_esm1b_KCAT,0.7622980185669578,24.0
smitrans_prott5_KCAT,0.7616023123808974,25.0
rdkitfp_esmc_KCAT,0.761535187986569,26.0
chemberta2_esm1b_KCAT,0.7605548159385007,27.0
molebert_prott5_KCAT,0.7577853752473154,28.0
chemberta2_prott5_KCAT,0.7577182964739906,29.0
maccskeys_prott5_KCAT,0.7566410734275516,30.0
smitrans_esm2_KCAT,0.7553119150363836,31.0
maccskeys_esm2_KCAT,0.7537485060611281,32.0
molgen_esmc_KCAT,0.7534942680537811,33.0
smitrans_esm1b_KCAT,0.7471851980788838,34.0
maccskeys_esm1b_KCAT,0.7209756866017593,35.0
maccskeys_esmc_KCAT,0.716277310543229,36.0
unimolv1_prollama_KCAT,0.6155430152683132,37.0
ecfp_prollama_KCAT,0.6146176367836236,38.0
molebert_prollama_KCAT,0.5806521594438852,39.0
smitrans_prollama_KCAT,0.5802110137512358,40.0
maccskeys_prollama_KCAT,0.5753473375507088,41.0
unimolv2_prollama_KCAT,0.558628008682884,42.0
chemberta2_prollama_KCAT,0.5549516681634248,43.0
molgen_prollama_KCAT,0.5483297681755446,44.0
rdkitfp_prollama_KCAT,0.5046418164630833,45.0
