Model,Mean Value (Key 2),Rank (Key 2)
ecfp_prott5_KM,0.7752177722911823,1.0
ecfp_esm1b_KM,0.7708138732123043,2.0
unimolv2_prott5_KM,0.7674611246143435,3.0
ecfp_esm2_KM,0.7662840411869911,4.0
unimolv1_prott5_KM,0.7657198174265929,5.0
ecfp_esmc_KM,0.7647916880258796,6.0
unimolv1_prollama_KM,0.7644741566520474,7.0
unimolv1_esmc_KM,0.7633577776982469,8.0
molgen_prott5_KM,0.7615733495284237,9.0
unimolv2_esm1b_KM,0.7608599226730448,10.0
unimolv2_esmc_KM,0.7607064470944194,11.0
molgen_prollama_KM,0.7594638734104411,12.0
maccskeys_prott5_KM,0.7584224009247372,13.0
unimolv1_esm1b_KM,0.7575499426311623,14.0
molgen_esmc_KM,0.7553739010414104,15.0
unimolv2_prollama_KM,0.7550943850799331,16.0
ecfp_prollama_KM,0.7540662912242176,17.0
smitrans_prott5_KM,0.7539091918806552,18.0
maccskeys_esm1b_KM,0.7536602408125251,19.0
molgen_esm1b_KM,0.7525422042553007,20.0
chemberta2_prott5_KM,0.7519791530701674,21.0
chemberta2_esmc_KM,0.7516670607587368,22.0
smitrans_esmc_KM,0.7515324145700527,23.0
smitrans_prollama_KM,0.7513483760635131,24.0
unimolv2_esm2_KM,0.75035417460481,25.0
molebert_prott5_KM,0.7496878562315955,26.0
unimolv1_esm2_KM,0.7495576955502259,27.0
molgen_esm2_KM,0.7493185445631406,28.0
smitrans_esm1b_KM,0.7481961463502136,29.0
chemberta2_prollama_KM,0.7477948877400059,30.0
chemberta2_esm1b_KM,0.747402971238647,31.0
molebert_prollama_KM,0.7473138444336862,32.0
maccskeys_esm2_KM,0.7445427513902623,33.0
maccskeys_esmc_KM,0.7442199832344216,34.0
smitrans_esm2_KM,0.7434685540253078,35.0
molebert_esm1b_KM,0.7434454951549914,36.0
molebert_esmc_KM,0.7405344499316036,37.0
chemberta2_esm2_KM,0.7396270882825652,38.0
molebert_esm2_KM,0.7357060732557658,39.0
maccskeys_prollama_KM,0.7342432951588036,40.0
rdkitfp_prott5_KM,0.7288352592146567,41.0
rdkitfp_esm1b_KM,0.7235784627557548,42.0
rdkitfp_esmc_KM,0.7195794205665906,43.0
rdkitfp_prollama_KM,0.7187234786110265,44.0
rdkitfp_esm2_KM,0.7141350036120911,45.0
