Model,Mean Accuracy,Mean Precision,Mean Recall,Mean F1,Rank
unimolv2_esmc_KM,0.7669736730204957,0.8081275336972734,0.838282643361149,0.8228927784738269,1.0
molgen_prott5_KM,0.7657703842478647,0.8101244243188553,0.8326248541803848,0.8211925999473738,2.0
smitrans_prott5_KM,0.7645276505091501,0.8067078820237649,0.8357930174229115,0.8209413779265734,3.0
unimolv2_prott5_KM,0.7638571372791816,0.808795563018446,0.8309211655896191,0.8196255118907436,4.0
molgen_esm1b_KM,0.7627932044160648,0.8063315332598588,0.832730986831203,0.8193010042306559,5.0
unimolv1_esmc_KM,0.7626397687866935,0.8055704747839808,0.8339666212295338,0.8194502425222023,6.0
chemberta2_prott5_KM,0.7625667261101315,0.8083559377616683,0.8289674804005841,0.8184686393413779,7.0
chemberta2_esmc_KM,0.761777012520153,0.8073836172363503,0.829020235697693,0.8180335834415506,8.0
molgen_esmc_KM,0.7614613850061112,0.8065053813323354,0.829723827105124,0.8178987586489426,9.0
unimolv1_esm2_KM,0.7611318859733176,0.8059253716312597,0.8303524273323786,0.8178224870612022,10.0
smitrans_esmc_KM,0.7603818506046182,0.8048541809776605,0.8302853511201163,0.8173229352666709,11.0
unimolv2_esm1b_KM,0.7597342577344088,0.8030205400285361,0.8321096789690431,0.8172650217073929,12.0
unimolv1_prott5_KM,0.7594042868550968,0.8052478188945805,0.8278357069114681,0.8163213416924224,13.0
molgen_esm2_KM,0.758355965914166,0.8028020206960175,0.8297655658298971,0.8160095321664048,14.0
molebert_prott5_KM,0.7581692959071342,0.8034476333154602,0.8280780306933355,0.8155346149943796,15.0
unimolv2_esm2_KM,0.7572216732286897,0.803628105217957,0.8261682572258341,0.8146789447064553,16.0
chemberta2_esm1b_KM,0.7569767824447501,0.8024011539173314,0.8275920793920394,0.8147575914008947,17.0
smitrans_esm2_KM,0.7560160733077456,0.799746892222143,0.8304209867008904,0.8147238475742669,18.0
smitrans_esm1b_KM,0.7557670724209796,0.8012368603486714,0.827000965567478,0.8138749851805009,19.0
molebert_esm2_KM,0.7553290014520894,0.7987661926316579,0.8306891285459791,0.8143415974718989,20.0
unimolv1_esm1b_KM,0.7551959437132981,0.799812989159503,0.8284207142560913,0.8138081875840489,21.0
chemberta2_esm2_KM,0.754709472687459,0.8023188323089026,0.8232812036367074,0.8126004402305135,22.0
ecfp_prott5_KM,0.7541665293800309,0.7998877257218969,0.8262025684340204,0.8127361285745636,23.0
unimolv2_prollama_KM,0.7539202978006737,0.7998427853789989,0.8256553836300803,0.8125185075200582,24.0
rdkitfp_prott5_KM,0.7537755205561216,0.79969593122696,0.825529059868056,0.8122942757411729,25.0
molebert_esm1b_KM,0.7536912204762872,0.798090966977778,0.8283845909841385,0.8129025405658454,26.0
molgen_prollama_KM,0.7524195703280243,0.7972500016359183,0.8268549756727305,0.8117566339742295,27.0
unimolv1_prollama_KM,0.7516598104101229,0.7962444265966688,0.8273221605549683,0.8113986152690563,28.0
smitrans_prollama_KM,0.7516485001101727,0.7976739487670921,0.8246677406968776,0.8109134991327368,29.0
maccskeys_prott5_KM,0.7511024580693831,0.7975197971527157,0.8240789797215333,0.8104630178594503,30.0
molebert_esmc_KM,0.7508802426802619,0.7950489898513354,0.8278669275806585,0.8110348818764971,31.0
maccskeys_esm1b_KM,0.7499737512522862,0.7947042271312388,0.8269164936801408,0.8103357532128369,32.0
ecfp_esm1b_KM,0.7495682479174581,0.7934682489991015,0.82816423626243,0.8103002511152549,33.0
ecfp_esm2_KM,0.7475505159427857,0.7931698719999207,0.8243696968595902,0.8083469475074916,34.0
rdkitfp_esmc_KM,0.7474415446719236,0.7945537749656845,0.821487537854107,0.8076783176793629,35.0
maccskeys_esm2_KM,0.7467580231743531,0.7935548224921699,0.822324147389413,0.8074692773399537,36.0
chemberta2_prollama_KM,0.7466866129677646,0.7948546639811804,0.8193095097464808,0.8068807765890769,37.0
rdkitfp_esm1b_KM,0.7466627940211664,0.7951229732985309,0.8186398100544258,0.806649092507582,38.0
ecfp_esmc_KM,0.7462943712650297,0.7930485607333051,0.8222487051247184,0.8071794700258028,39.0
maccskeys_esmc_KM,0.7461474497569703,0.7949591625627876,0.8183681398816326,0.8063117371644097,40.0
molebert_prollama_KM,0.7454762794559315,0.7932654205642594,0.819706334695635,0.8062082791837287,41.0
ecfp_prollama_KM,0.7431967237482855,0.78942442502369,0.8216438704400255,0.805161876077136,42.0
rdkitfp_esm2_KM,0.7389016989537334,0.7905698240848629,0.8105310656012652,0.8003331519654291,43.0
maccskeys_prollama_KM,0.7388248787119758,0.7880516289665271,0.8149233554680635,0.8011609052354073,44.0
rdkitfp_prollama_KM,0.7370055747256166,0.7895168460237286,0.8087305480357048,0.7988857852878807,45.0
