Model,Mean Value (Key 5),Rank (Key 5)
ecfp_prollama_KM,0.8719670691163411,1.0
maccskeys_prollama_KM,0.858390375676932,2.0
maccskeys_prott5_KM,0.7728899577164718,3.0
ecfp_prott5_KM,0.7663229896459894,4.0
ecfp_esmc_KM,0.7429003965713064,5.0
maccskeys_esmc_KM,0.7248134700017622,6.0
maccskeys_esm2_KM,0.7143910812534917,7.0
rdkitfp_prollama_KM,0.7100952348985298,8.0
ecfp_esm2_KM,0.6989590142664198,9.0
maccskeys_esm1b_KM,0.6941187495734849,10.0
ecfp_esm1b_KM,0.6803802274884181,11.0
rdkitfp_esmc_KM,0.637535162313178,12.0
unimolv2_esmc_KM,0.6354035420891166,13.0
unimolv2_prott5_KM,0.6121481242035772,14.0
molgen_esmc_KM,0.6019587917696443,15.0
smitrans_prott5_KM,0.595220013359711,16.0
unimolv1_esmc_KM,0.5910646308648572,17.0
rdkitfp_esm2_KM,0.5859877413307494,18.0
rdkitfp_prott5_KM,0.5815711659010041,19.0
smitrans_esmc_KM,0.5745648709188819,20.0
smitrans_esm2_KM,0.5637961727782745,21.0
molgen_prott5_KM,0.5630828285894525,22.0
unimolv1_prott5_KM,0.5623123986818497,23.0
chemberta2_esmc_KM,0.5582574221103432,24.0
molebert_esm2_KM,0.555614068799534,25.0
molebert_esmc_KM,0.5539835214802117,26.0
unimolv2_esm2_KM,0.5533515253765102,27.0
unimolv2_esm1b_KM,0.5501434999918704,28.0
molebert_prott5_KM,0.5484211746223769,29.0
molebert_esm1b_KM,0.5423225125942118,30.0
molgen_esm2_KM,0.5414027588823744,31.0
rdkitfp_esm1b_KM,0.5403979007329311,32.0
chemberta2_prott5_KM,0.5380557836336186,33.0
chemberta2_esm2_KM,0.5288339627665186,34.0
unimolv1_esm2_KM,0.5284818892124303,35.0
chemberta2_esm1b_KM,0.5214866709200313,36.0
unimolv1_esm1b_KM,0.5159027234594267,37.0
molgen_esm1b_KM,0.5116188672319372,38.0
smitrans_esm1b_KM,0.5080347862724484,39.0
smitrans_prollama_KM,0.502295669630031,40.0
unimolv2_prollama_KM,0.47744575393589406,41.0
molebert_prollama_KM,0.3472476889894101,42.0
molgen_prollama_KM,0.31079362421441525,43.0
unimolv1_prollama_KM,0.3103897342057046,44.0
chemberta2_prollama_KM,0.2897245658017434,45.0
