Model,Mean Value (Key 2),Rank (Key 2)
ecfp_prott5_KCAT,0.8485565679968652,1.0
ecfp_esm2_KCAT,0.8450124133710114,2.0
rdkitfp_prott5_KCAT,0.8409848580763077,3.0
rdkitfp_esm2_KCAT,0.8393978198130115,4.0
ecfp_esmc_KCAT,0.8393323008573693,5.0
unimolv2_prott5_KCAT,0.8381512674818765,6.0
maccskeys_prott5_KCAT,0.8376911348830335,7.0
unimolv1_esmc_KCAT,0.8362250095447894,8.0
unimolv2_esmc_KCAT,0.8351042993576172,9.0
unimolv2_esm2_KCAT,0.8350639718789145,10.0
unimolv1_esm2_KCAT,0.8349206077397703,11.0
ecfp_esm1b_KCAT,0.8348830045837033,12.0
unimolv1_esm1b_KCAT,0.8345530923752811,13.0
molebert_esm2_KCAT,0.8345355593204402,14.0
maccskeys_esm2_KCAT,0.8337837841515909,15.0
rdkitfp_esm1b_KCAT,0.8334744721276819,16.0
rdkitfp_esmc_KCAT,0.8332467960907282,17.0
unimolv1_prott5_KCAT,0.8328996913127824,18.0
molebert_esm1b_KCAT,0.8312820957052992,19.0
maccskeys_esm1b_KCAT,0.8306150865154212,20.0
molebert_prott5_KCAT,0.8305590878436002,21.0
chemberta2_prott5_KCAT,0.8302425588342235,22.0
unimolv2_esm1b_KCAT,0.8287061680823589,23.0
maccskeys_esmc_KCAT,0.8285515414362861,24.0
molebert_esmc_KCAT,0.8279015842135579,25.0
chemberta2_esm2_KCAT,0.8275647173599834,26.0
molgen_esm2_KCAT,0.8268428186904639,27.0
smitrans_esm1b_KCAT,0.826634197339072,28.0
molgen_prott5_KCAT,0.8263404602266894,29.0
chemberta2_esm1b_KCAT,0.8260525389618021,30.0
smitrans_esm2_KCAT,0.8260130782250685,31.0
molgen_esm1b_KCAT,0.8255145634675232,32.0
chemberta2_esmc_KCAT,0.8253253905365195,33.0
smitrans_esmc_KCAT,0.8240785572920867,34.0
molgen_esmc_KCAT,0.8239418914733747,35.0
smitrans_prott5_KCAT,0.8233781980695095,36.0
ecfp_prollama_KCAT,0.8169964063219733,37.0
molebert_prollama_KCAT,0.8123716723321106,38.0
unimolv1_prollama_KCAT,0.8108324713926709,39.0
unimolv2_prollama_KCAT,0.8092464481395899,40.0
rdkitfp_prollama_KCAT,0.8052343731293149,41.0
maccskeys_prollama_KCAT,0.8008497241495249,42.0
molgen_prollama_KCAT,0.7987514758076237,43.0
chemberta2_prollama_KCAT,0.7964619034050846,44.0
smitrans_prollama_KCAT,0.7964303938271071,45.0
