Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:22832	3.5.3.13	N-formimidoyl-L-glutamate + H2O = N-formyl-L-glutamate + NH4(+)	CHEBI:58928;CHEBI:15377;CHEBI:17684;CHEBI:28938	EC:3.5.3.13 formimidoylglutamate deiminase	1
RHEA:22856	2.3.1.150	(7S)-salutaridinol + acetyl-CoA = (7S)-O-acetylsalutaridinol + CoA	CHEBI:58463;CHEBI:57288;CHEBI:57672;CHEBI:57287	EC:2.3.1.150 salutaridinol 7-O-acetyltransferase	1
RHEA:22860	2.7.7.18	nicotinate beta-D-ribonucleotide + ATP + H(+) = deamido-NAD(+) + diphosphate	CHEBI:57502;CHEBI:30616;CHEBI:15378;CHEBI:58437;CHEBI:33019	EC:2.7.7.18 nicotinate-nucleotide adenylyltransferase	43825
RHEA:22864	5.1.1.5	L-lysine = D-lysine	CHEBI:32551;CHEBI:32557	EC:5.1.1.5 lysine racemase	586
RHEA:22876	3.5.1.86	(R)-mandelamide + H2O = (R)-mandelate + NH4(+)	CHEBI:17352;CHEBI:15377;CHEBI:32382;CHEBI:28938	EC:3.5.1.86 mandelamide amidase	1
RHEA:22880	2.6.1.79	L-arogenate + 2-oxoglutarate = prephenate + L-glutamate	CHEBI:58180;CHEBI:16810;CHEBI:29934;CHEBI:29985	EC:2.6.1.79 glutamate--prephenate aminotransferase	230
RHEA:22888	5.4.99.2	(R)-methylmalonyl-CoA = succinyl-CoA	CHEBI:57326;CHEBI:57292	EC:5.4.99.2 methylmalonyl-CoA mutase	3628
RHEA:22892	1.5.1.15	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + NAD(+) = (6R)-5,10-methenyltetrahydrofolate + NADH	CHEBI:15636;CHEBI:57540;CHEBI:57455;CHEBI:57945	EC:1.5.1.15 methylenetetrahydrofolate dehydrogenase (NAD(+))	12
RHEA:22908	3.5.4.46	3',5'-cyclic AMP + H2O + H(+) = 3',5'-cyclic IMP + NH4(+)	CHEBI:58165;CHEBI:15377;CHEBI:15378;CHEBI:134197;CHEBI:28938	EC:3.5.4.46 cAMP deaminase	1
RHEA:22916	1.14.13.84	4'-hydroxyacetophenone + NADPH + O2 + H(+) = 4-acetoxyphenol + NADP(+) + H2O	CHEBI:28032;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:31128;CHEBI:58349;CHEBI:15377	EC:1.14.13.84 4-hydroxyacetophenone monooxygenase	1
RHEA:22924	3.5.4.12	dCMP + H2O + H(+) = dUMP + NH4(+)	CHEBI:57566;CHEBI:15377;CHEBI:15378;CHEBI:246422;CHEBI:28938	EC:3.5.4.12 dCMP deaminase	11
RHEA:22932	2.4.1.38	an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+)	CHEBI:61631;CHEBI:66914;CHEBI:133507;CHEBI:58223;CHEBI:15378	EC:2.4.1.38 beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase	601
RHEA:22936	3.5.1.25	N-acetyl-D-glucosamine 6-phosphate + H2O = D-glucosamine 6-phosphate + acetate	CHEBI:57513;CHEBI:15377;CHEBI:58725;CHEBI:30089	EC:3.5.1.25 N-acetylglucosamine-6-phosphate deacetylase	11704
RHEA:22940	2.7.3.3	L-arginine + ATP = N(omega)-phospho-L-arginine + ADP + H(+)	CHEBI:32682;CHEBI:30616;CHEBI:58477;CHEBI:456216;CHEBI:15378	EC:2.7.3.3 arginine kinase	362
RHEA:22948	4.1.2.40	D-tagatofuranose 1,6-bisphosphate = D-glyceraldehyde 3-phosphate + dihydroxyacetone phosphate	CHEBI:58694;CHEBI:59776;CHEBI:57642	EC:4.1.2.40 tagatose-bisphosphate aldolase	3069
RHEA:22960	1.14.14.88	formononetin + reduced [NADPH--hemoprotein reductase] + O2 = calycosin + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:77688;CHEBI:57618;CHEBI:15379;CHEBI:77992;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.88 isoflavone 3'-hydroxylase	1
RHEA:22964	4.1.1.17	L-ornithine + H(+) = putrescine + CO2	CHEBI:46911;CHEBI:15378;CHEBI:326268;CHEBI:16526	EC:4.1.1.17 ornithine decarboxylase	12189
RHEA:22996	1.11.1.11	L-ascorbate + H2O2 = L-dehydroascorbate + 2 H2O	CHEBI:38290;CHEBI:16240;CHEBI:58539;CHEBI:15377	EC:1.11.1.11 L-ascorbate peroxidase	1763
RHEA:23008	3.2.1.93	alpha,alpha-trehalose 6-phosphate + H2O = D-glucose 6-phosphate + D-glucose	CHEBI:58429;CHEBI:15377;CHEBI:61548;CHEBI:4167	EC:3.2.1.93 alpha,alpha-phosphotrehalase	2
RHEA:23012	2.1.1.15	a fatty acid + S-adenosyl-L-methionine = a fatty acid methyl ester + S-adenosyl-L-homocysteine	CHEBI:28868;CHEBI:59789;CHEBI:4986;CHEBI:57856	EC:2.1.1.15 fatty-acid O-methyltransferase	1
RHEA:23016	1.1.1.219	(2R,3S,4S)-3,4-leucopelargonidin + NADP(+) = (2R,3R)-dihydrokaempferol + NADPH + H(+)	CHEBI:17343;CHEBI:58349;CHEBI:15401;CHEBI:57783;CHEBI:15378	EC:1.1.1.219 dihydroflavanol 4-reductase	0
RHEA:23024	2.4.1.49	[(1->4)-beta-D-glucosyl](n) + phosphate = [(1->4)-beta-D-glucosyl](n-1) + alpha-D-glucose 1-phosphate	CHEBI:18246;CHEBI:43474;CHEBI:58601	EC:2.4.1.49 cellodextrin phosphorylase	0
RHEA:23056	4.2.1.69	urea = cyanamide + H2O	CHEBI:16199;CHEBI:16698;CHEBI:15377	EC:4.2.1.69 cyanamide hydratase	1040
RHEA:23064	1.14.14.5	an alkanesulfonate + FMNH2 + O2 = an aldehyde + FMN + sulfite + H2O + 2 H(+)	CHEBI:134249;CHEBI:57618;CHEBI:15379;CHEBI:17478;CHEBI:58210;CHEBI:17359;CHEBI:15377;CHEBI:15378	EC:1.14.14.5 alkanesulfonate monooxygenase	5041
RHEA:23068	2.3.1.94	6 (S)-methylmalonyl-CoA + propanoyl-CoA + 6 NADPH + 12 H(+) = 6-deoxyerythronolide B + 6 CO2 + 6 NADP(+) + 7 CoA + H2O	CHEBI:57327;CHEBI:57392;CHEBI:57783;CHEBI:15378;CHEBI:16089;CHEBI:16526;CHEBI:58349;CHEBI:57287;CHEBI:15377	EC:2.3.1.94 6-deoxyerythronolide-B synthase	3
RHEA:23080	4.2.1.90	L-rhamnonate = 2-dehydro-3-deoxy-L-rhamnonate + H2O	CHEBI:58118;CHEBI:58371;CHEBI:15377	EC:4.2.1.90 L-rhamnonate dehydratase	1237
RHEA:23092	3.5.4.43	hydroxyatrazine + H2O + H(+) = N-isopropylammelide + ethylamine	CHEBI:18316;CHEBI:15377;CHEBI:15378;CHEBI:17247;CHEBI:566789	EC:3.5.4.43 hydroxydechloroatrazine ethylaminohydrolase	1
RHEA:23096	2.7.1.49	4-amino-5-hydroxymethyl-2-methylpyrimidine + ATP = 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ADP + H(+)	CHEBI:16892;CHEBI:30616;CHEBI:58354;CHEBI:456216;CHEBI:15378	EC:2.7.1.49 hydroxymethylpyrimidine kinase	5509
RHEA:23104	5.3.1.13	D-arabinose 5-phosphate = D-ribulose 5-phosphate	CHEBI:57693;CHEBI:58121	EC:5.3.1.13 arabinose-5-phosphate isomerase	7148
RHEA:23116	6.2.1.27	4-hydroxybenzoate + ATP + CoA = 4-hydroxybenzoyl-CoA + AMP + diphosphate	CHEBI:17879;CHEBI:30616;CHEBI:57287;CHEBI:57356;CHEBI:456215;CHEBI:33019	EC:6.2.1.27 4-hydroxybenzoate--CoA ligase	4
RHEA:23124	4.1.1.39	2 (2R)-3-phosphoglycerate + 2 H(+) = D-ribulose 1,5-bisphosphate + CO2 + H2O	CHEBI:58272;CHEBI:15378;CHEBI:57870;CHEBI:16526;CHEBI:15377	EC:4.1.1.39 ribulose-bisphosphate carboxylase	171626
RHEA:23128	6.2.1.40	4-hydroxybutanoate + ATP + CoA = 4-hydroxybutanoyl-CoA + AMP + diphosphate	CHEBI:16724;CHEBI:30616;CHEBI:57287;CHEBI:58574;CHEBI:456215;CHEBI:33019	EC:6.2.1.40 4-hydroxybutyrate--CoA ligase (AMP-forming)	2
RHEA:23132	1.8.7.1	hydrogen sulfide + 6 oxidized [2Fe-2S]-[ferredoxin] + 3 H2O = sulfite + 6 reduced [2Fe-2S]-[ferredoxin] + 7 H(+)	CHEBI:29919;CHEBI:33737;CHEBI:15377;CHEBI:17359;CHEBI:33738;CHEBI:15378	EC:1.8.7.1 assimilatory sulfite reductase (ferredoxin)	8932
RHEA:23136	2.1.1.49	a primary amine + S-adenosyl-L-methionine = a methylated primary amine + S-adenosyl-L-homocysteine + H(+)	CHEBI:65296;CHEBI:59789;CHEBI:131823;CHEBI:57856;CHEBI:15378	EC:2.1.1.49 amine N-methyltransferase	4
RHEA:23148	2.7.2.15	propanoate + ATP = propanoyl phosphate + ADP	CHEBI:17272;CHEBI:30616;CHEBI:58933;CHEBI:456216	EC:2.7.2.15 propionate kinase	1570
RHEA:23156	4.8.1.3	(E)-(indol-3-yl)acetaldehyde oxime = (indol-3-yl)acetonitrile + H2O	CHEBI:17545;CHEBI:17566;CHEBI:15377	EC:4.8.1.3 indoleacetaldoxime dehydratase	1
RHEA:23160	5.3.1.14	L-rhamnopyranose = L-rhamnulose	CHEBI:62346;CHEBI:17897	EC:5.3.1.14 L-rhamnose isomerase	3955
RHEA:23176	6.2.1.1	acetate + ATP + CoA = acetyl-CoA + AMP + diphosphate	CHEBI:30089;CHEBI:30616;CHEBI:57287;CHEBI:57288;CHEBI:456215;CHEBI:33019	EC:6.2.1.1 acetate--CoA ligase	28931
RHEA:23188	1.1.1.202	propane-1,3-diol + NAD(+) = 3-hydroxypropanal + NADH + H(+)	CHEBI:16109;CHEBI:57540;CHEBI:17871;CHEBI:57945;CHEBI:15378	EC:1.1.1.202 1,3-propanediol dehydrogenase	2
RHEA:23192	2.4.1.227	Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyl diphosphate + UDP-N-acetyl-alpha-D-glucosamine = beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyl diphosphate + UDP + H(+)	CHEBI:60032;CHEBI:57705;CHEBI:60033;CHEBI:58223;CHEBI:15378	EC:2.4.1.227 undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	1512
RHEA:23196	6.3.2.26	L-2-aminoadipate + L-valine + L-cysteine + 3 ATP + H2O = N-[(5S)-5-amino-5-carboxypentanoyl]-L-cysteinyl-D-valine + 3 AMP + 3 diphosphate + 3 H(+)	CHEBI:58672;CHEBI:57762;CHEBI:35235;CHEBI:30616;CHEBI:15377;CHEBI:58572;CHEBI:456215;CHEBI:33019;CHEBI:15378	EC:6.3.2.26 N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase	6
RHEA:23220	6.2.1.33	4-chlorobenzoate + ATP + CoA = 4-chlorobenzoyl-CoA + AMP + diphosphate	CHEBI:17861;CHEBI:30616;CHEBI:57287;CHEBI:57354;CHEBI:456215;CHEBI:33019	EC:6.2.1.33 4-chlorobenzoate--CoA ligase	3
RHEA:23224	2.4.1.203	trans-zeatin + UDP-alpha-D-glucose = O-beta-D-glucosyl-trans-zeatin + UDP + H(+)	CHEBI:16522;CHEBI:58885;CHEBI:38266;CHEBI:58223;CHEBI:15378	EC:2.4.1.203 trans-zeatin O-beta-D-glucosyltransferase	1
RHEA:23228	1.14.13.59	L-lysine + NADPH + O2 = N(6)-hydroxy-L-lysine + NADP(+) + H2O	CHEBI:32551;CHEBI:57783;CHEBI:15379;CHEBI:57820;CHEBI:58349;CHEBI:15377	EC:1.14.13.59 L-lysine N(6)-monooxygenase (NADPH)	5368
RHEA:23240	2.1.2.5	(6S)-5-formyl-5,6,7,8-tetrahydrofolate + L-glutamate = N-formyl-L-glutamate + (6S)-5,6,7,8-tetrahydrofolate + H(+)	CHEBI:57457;CHEBI:29985;CHEBI:17684;CHEBI:57453;CHEBI:15378	EC:2.1.2.5 glutamate formimidoyltransferase	5
RHEA:23284	5.3.3.2	isopentenyl diphosphate = dimethylallyl diphosphate	CHEBI:128769;CHEBI:57623	EC:5.3.3.2 isopentenyl-diphosphate Delta-isomerase	17717
RHEA:23288	1.2.1.10	acetaldehyde + NAD(+) + CoA = acetyl-CoA + NADH + H(+)	CHEBI:15343;CHEBI:57540;CHEBI:57287;CHEBI:57288;CHEBI:57945;CHEBI:15378	EC:1.2.1.10 acetaldehyde dehydrogenase (acetylating)	6697
RHEA:23296	4.1.3.3	aceneuramate = aldehydo-N-acetyl-D-mannosamine + pyruvate	CHEBI:173083;CHEBI:17122;CHEBI:15361	EC:4.1.3.3 N-acetylneuraminate lyase	8719
RHEA:23300	2.5.1.68	isopentenyl diphosphate + (2E)-geranyl diphosphate = (2Z,6E)-farnesyl diphosphate + diphosphate	CHEBI:128769;CHEBI:58057;CHEBI:162247;CHEBI:33019	EC:2.5.1.68 (2Z,6E)-farnesyl diphosphate synthase	465
RHEA:23312	2.4.1.99	2 sucrose = 1(F)-beta-D-fructosylsucrose + D-glucose	CHEBI:17992;CHEBI:16885;CHEBI:4167	EC:2.4.1.99 sucrose:sucrose fructosyltransferase	1
RHEA:23336	1.11.1.8	2 iodide + H2O2 + 2 H(+) = diiodine + 2 H2O	CHEBI:16382;CHEBI:16240;CHEBI:15378;CHEBI:17606;CHEBI:15377	EC:1.11.1.8 iodide peroxidase	418
RHEA:23340	4.1.2.23	3-deoxy-alpha-D-manno-oct-2-ulosonate = D-arabinose + pyruvate	CHEBI:85986;CHEBI:46994;CHEBI:15361	EC:4.1.2.23 3-deoxy-D-manno-octulosonate aldolase	0
RHEA:23344	3.2.2.1	a purine D-ribonucleoside + H2O = a purine nucleobase + D-ribose	CHEBI:142355;CHEBI:15377;CHEBI:26386;CHEBI:47013	EC:3.2.2.1 purine nucleosidase	3
RHEA:23352	2.6.1.19	4-aminobutanoate + 2-oxoglutarate = succinate semialdehyde + L-glutamate	CHEBI:59888;CHEBI:16810;CHEBI:57706;CHEBI:29985	EC:2.6.1.19 4-aminobutyrate--2-oxoglutarate transaminase	2813
RHEA:23356	2.7.11.14	L-seryl-[rhodopsin] + ATP = O-phospho-L-seryl-[rhodopsin] + ADP + H(+)	CHEBI:29999;CHEBI:30616;CHEBI:83421;CHEBI:456216;CHEBI:15378	EC:2.7.11.14 rhodopsin kinase	831
RHEA:23360	2.4.1.186	L-tyrosyl-[glycogenin] + UDP-alpha-D-glucose = alpha-D-glucosyl-L-tyrosyl-[glycogenin] + UDP + H(+)	CHEBI:46858;CHEBI:58885;CHEBI:140573;CHEBI:58223;CHEBI:15378	EC:2.4.1.186 glycogenin glucosyltransferase	2528
RHEA:23368	4.1.1.7	phenylglyoxylate + H(+) = benzaldehyde + CO2	CHEBI:36656;CHEBI:15378;CHEBI:17169;CHEBI:16526	EC:4.1.1.7 benzoylformate decarboxylase	2
RHEA:23384	5.1.3.11	D-cellobiose = beta-D-glucosyl-(1->4)-D-mannopyranose	CHEBI:17057;CHEBI:47931	EC:5.1.3.11 cellobiose epimerase	1879
RHEA:23388	2.7.1.119	hygromycin B + ATP = 7''-O-phosphohygromycin B + ADP + H(+)	CHEBI:57971;CHEBI:30616;CHEBI:57929;CHEBI:456216;CHEBI:15378	EC:2.7.1.119 hygromycin-B 7''-O-kinase	1
RHEA:23404	2.5.1.41	sn-glycerol 1-phosphate + (2E,6E,10E)-geranylgeranyl diphosphate = sn-3-O-(geranylgeranyl)glycerol 1-phosphate + diphosphate	CHEBI:57685;CHEBI:58756;CHEBI:57677;CHEBI:33019	EC:2.5.1.41 phosphoglycerol geranylgeranyltransferase	5096
RHEA:23420	3.1.3.12	alpha,alpha-trehalose 6-phosphate + H2O = alpha,alpha-trehalose + phosphate	CHEBI:58429;CHEBI:15377;CHEBI:16551;CHEBI:43474	EC:3.1.3.12 trehalose-phosphatase	16307
RHEA:23424	5.4.2.10	alpha-D-glucosamine 1-phosphate = D-glucosamine 6-phosphate	CHEBI:58516;CHEBI:58725	EC:5.4.2.10 phosphoglucosamine mutase	29562
RHEA:23444	1.1.1.27	(S)-lactate + NAD(+) = pyruvate + NADH + H(+)	CHEBI:16651;CHEBI:57540;CHEBI:15361;CHEBI:57945;CHEBI:15378	EC:1.1.1.27 L-lactate dehydrogenase	18272
RHEA:23448	2.7.7.38	3-deoxy-alpha-D-manno-oct-2-ulosonate + CTP = CMP-3-deoxy-beta-D-manno-octulosonate + diphosphate	CHEBI:85986;CHEBI:37563;CHEBI:85987;CHEBI:33019	EC:2.7.7.38 3-deoxy-manno-octulosonate cytidylyltransferase	18573
RHEA:23452	2.7.1.76,2.7.1.145	2'-deoxyadenosine + ATP = dAMP + ADP + H(+)	CHEBI:17256;CHEBI:30616;CHEBI:58245;CHEBI:456216;CHEBI:15378	EC:2.7.1.76 deoxyadenosine kinase;EC:2.7.1.145 deoxynucleoside kinase	536
RHEA:23476	4.1.1.48	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate + H(+) = (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O	CHEBI:58613;CHEBI:15378;CHEBI:58866;CHEBI:16526;CHEBI:15377	EC:4.1.1.48 indole-3-glycerol-phosphate synthase	42144
RHEA:23480	5.3.3.6	2-methylene-3-methylsuccinate = dimethylmaleate	CHEBI:57637;CHEBI:17081	EC:5.3.3.6 methylitaconate Delta-isomerase	1
RHEA:23484	1.1.99.18	D-cellobiose + A = D-cellobiono-1,5-lactone + AH2	CHEBI:17057;CHEBI:13193;CHEBI:17863;CHEBI:17499	EC:1.1.99.18 cellobiose dehydrogenase (acceptor)	1
RHEA:23508	3.5.1.93	(7R)-7-(4-carboxybutanamido)cephalosporanate + H2O = (7R)-7-aminocephalosporanate + glutarate	CHEBI:58693;CHEBI:15377;CHEBI:58501;CHEBI:30921	EC:3.5.1.93 glutaryl-7-aminocephalosporanic-acid acylase	4
RHEA:23512	2.4.1.64	alpha,alpha-trehalose + phosphate = beta-D-glucose 1-phosphate + D-glucose	CHEBI:16551;CHEBI:43474;CHEBI:57684;CHEBI:4167	EC:2.4.1.64 alpha,alpha-trehalose phosphorylase	2
RHEA:23516	2.7.1.31	(R)-glycerate + ATP = (2R)-3-phosphoglycerate + ADP + H(+)	CHEBI:16659;CHEBI:30616;CHEBI:58272;CHEBI:456216;CHEBI:15378	EC:2.7.1.31 glycerate 3-kinase	768
RHEA:23536	5.4.2.2	alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate	CHEBI:58601;CHEBI:58225	EC:5.4.2.2 phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent);EC:5.4.2.5 phosphoglucomutase (glucose-cofactor)	15353
RHEA:23540	6.1.1.17	tRNA(Glu) + L-glutamate + ATP = L-glutamyl-tRNA(Glu) + AMP + diphosphate	CHEBI:78442;CHEBI:29985;CHEBI:30616;CHEBI:78520;CHEBI:456215;CHEBI:33019	EC:6.1.1.17 glutamate--tRNA ligase	51165
RHEA:23580	5.3.99.4	prostaglandin H2 = prostaglandin I2	CHEBI:57405;CHEBI:57403	EC:5.3.99.4 prostaglandin-I synthase	827
RHEA:23592	1.1.1.72	glycerol + NADP(+) = D-glyceraldehyde + NADPH + H(+)	CHEBI:17754;CHEBI:58349;CHEBI:17378;CHEBI:57783;CHEBI:15378	EC:1.1.1.72 glycerol dehydrogenase (NADP(+));EC:1.1.1.372 D/L-glyceraldehyde reductase	245
RHEA:23596	1.1.1.22	UDP-alpha-D-glucose + 2 NAD(+) + H2O = UDP-alpha-D-glucuronate + 2 NADH + 3 H(+)	CHEBI:58885;CHEBI:57540;CHEBI:15377;CHEBI:58052;CHEBI:57945;CHEBI:15378	EC:1.1.1.22 UDP-glucose 6-dehydrogenase	47355
RHEA:23604	4.2.1.95	kievitone hydrate = kievitone + H2O	CHEBI:17529;CHEBI:16832;CHEBI:15377	EC:4.2.1.95 kievitone hydratase	1
RHEA:23608	3.5.4.42	N-isopropylammelide + H2O + H(+) = isopropylamine + cyanurate	CHEBI:17247;CHEBI:15377;CHEBI:15378;CHEBI:57492;CHEBI:38028	EC:3.5.4.42 N-isopropylammelide isopropylaminohydrolase	1
RHEA:23620	6.3.3.4	N(2)-(2-carboxyethyl)-L-arginine + ATP = deoxyamidinoproclavaminate + AMP + diphosphate + H(+)	CHEBI:57304;CHEBI:30616;CHEBI:57303;CHEBI:456215;CHEBI:33019;CHEBI:15378	EC:6.3.3.4 (carboxyethyl)arginine beta-lactam-synthase	1
RHEA:23628	2.4.1.65	a beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl derivative + GDP-beta-L-fucose = a beta-D-galactosyl-(1->3)-[alpha-L-fucosyl-(1->4)]-N-acetyl-beta-D-glucosaminyl derivative + GDP + H(+)	CHEBI:133506;CHEBI:57273;CHEBI:140304;CHEBI:58189;CHEBI:15378	EC:2.4.1.65 3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase	487
RHEA:23632	1.1.1.41,1.1.1.286	D-threo-isocitrate + NAD(+) = 2-oxoglutarate + CO2 + NADH	CHEBI:15562;CHEBI:57540;CHEBI:16810;CHEBI:16526;CHEBI:57945	EC:1.1.1.41 isocitrate dehydrogenase (NAD(+));EC:1.1.1.286 isocitrate--homoisocitrate dehydrogenase	4284
RHEA:23640	1.14.17.4	1-aminocyclopropane-1-carboxylate + L-ascorbate + O2 = ethene + L-dehydroascorbate + hydrogen cyanide + CO2 + 2 H2O	CHEBI:58360;CHEBI:38290;CHEBI:15379;CHEBI:18153;CHEBI:58539;CHEBI:18407;CHEBI:16526;CHEBI:15377	EC:1.14.17.4 aminocyclopropanecarboxylate oxidase	1205
RHEA:23644	1.14.14.57	lithocholate + reduced [NADPH--hemoprotein reductase] + O2 = hyodeoxycholate + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:29744;CHEBI:57618;CHEBI:15379;CHEBI:58875;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.57 taurochenodeoxycholate 6alpha-hydroxylase	1
RHEA:23652	2.3.2.5	N-terminal L-glutaminyl-[peptide] = N-terminal 5-oxo-L-prolyl-[peptide] + NH4(+)	CHEBI:64722;CHEBI:87215;CHEBI:28938	EC:2.3.2.5 glutaminyl-peptide cyclotransferase	2802
RHEA:23656	5.5.1.2	2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate = 3-carboxy-cis,cis-muconate + H(+)	CHEBI:57979;CHEBI:57496;CHEBI:15378	EC:5.5.1.2 3-carboxy-cis,cis-muconate cycloisomerase	4
RHEA:23676	6.3.2.13	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + meso-2,6-diaminoheptanedioate + ATP = UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate + ADP + phosphate + H(+)	CHEBI:83900;CHEBI:57791;CHEBI:30616;CHEBI:83905;CHEBI:456216;CHEBI:43474;CHEBI:15378	EC:6.3.2.13 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	31380
RHEA:23680	3.6.1.15	a ribonucleoside 5'-triphosphate + H2O = a ribonucleoside 5'-diphosphate + phosphate + H(+)	CHEBI:61557;CHEBI:15377;CHEBI:57930;CHEBI:43474;CHEBI:15378	EC:3.6.1.15 nucleoside-triphosphate phosphatase	55405
RHEA:23688	3.5.4.2	adenine + H2O + H(+) = hypoxanthine + NH4(+)	CHEBI:16708;CHEBI:15377;CHEBI:15378;CHEBI:17368;CHEBI:28938	EC:3.5.4.2 adenine deaminase	22224
RHEA:23696	1.13.99.1	myo-inositol + O2 = D-glucuronate + H2O + H(+)	CHEBI:17268;CHEBI:15379;CHEBI:58720;CHEBI:15377;CHEBI:15378	EC:1.13.99.1 inositol oxygenase	4680
RHEA:23700	3.5.4.9	(6R)-5,10-methenyltetrahydrofolate + H2O = (6R)-10-formyltetrahydrofolate + H(+)	CHEBI:57455;CHEBI:15377;CHEBI:195366;CHEBI:15378	EC:3.5.4.9 methenyltetrahydrofolate cyclohydrolase	48296
RHEA:23704	3.5.4.25	GTP + 4 H2O = 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + formate + 2 phosphate + 3 H(+)	CHEBI:37565;CHEBI:15377;CHEBI:58614;CHEBI:15740;CHEBI:43474;CHEBI:15378	EC:3.5.4.25 GTP cyclohydrolase II	35748
RHEA:23716	5.3.3.8	(3Z)-dodecenoyl-CoA = (2E)-dodecenoyl-CoA	CHEBI:58543;CHEBI:57330	EC:5.3.3.8 Delta(3)-Delta(2)-enoyl-CoA isomerase	3
RHEA:23728	1.14.99.1	(5Z,8Z,11Z,14Z)-eicosatetraenoate + AH2 + 2 O2 = prostaglandin H2 + A + H2O	CHEBI:32395;CHEBI:17499;CHEBI:15379;CHEBI:57405;CHEBI:13193;CHEBI:15377	EC:1.14.99.1 prostaglandin-endoperoxide synthase	564
RHEA:23732	4.1.1.33	(R)-5-diphosphomevalonate + ATP = isopentenyl diphosphate + ADP + phosphate + CO2	CHEBI:57557;CHEBI:30616;CHEBI:128769;CHEBI:456216;CHEBI:43474;CHEBI:16526	EC:4.1.1.33 diphosphomevalonate decarboxylase	3608
RHEA:23736	3.5.2.17	5-hydroxyisourate + H2O = 5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate + H(+)	CHEBI:18072;CHEBI:15377;CHEBI:58639;CHEBI:15378	EC:3.5.2.17 hydroxyisourate hydrolase	16416
RHEA:23744	2.6.1.9	L-histidinol phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2-oxopropyl phosphate + L-glutamate	CHEBI:57980;CHEBI:16810;CHEBI:57766;CHEBI:29985	EC:2.6.1.9 histidinol-phosphate transaminase	45273
RHEA:23756	1.1.3.37	D-arabinono-1,4-lactone + O2 = dehydro-D-arabinono-1,4-lactone + H2O2 + H(+)	CHEBI:16292;CHEBI:15379;CHEBI:58277;CHEBI:16240;CHEBI:15378	EC:1.1.3.37 D-arabinono-1,4-lactone oxidase	1257
RHEA:23760	1.12.98.1	oxidized coenzyme F420-(gamma-L-Glu)(n) + H2 + H(+) = reduced coenzyme F420-(gamma-L-Glu)(n)	CHEBI:133980;CHEBI:18276;CHEBI:15378;CHEBI:139511	EC:1.12.98.1 coenzyme F420 hydrogenase	12
RHEA:23776	2.7.2.4	L-aspartate + ATP = 4-phospho-L-aspartate + ADP	CHEBI:29991;CHEBI:30616;CHEBI:57535;CHEBI:456216	EC:2.7.2.4 aspartate kinase	63633
RHEA:23780	2.3.3.5	propanoyl-CoA + oxaloacetate + H2O = (2S,3S)-2-methylcitrate + CoA + H(+)	CHEBI:57392;CHEBI:16452;CHEBI:15377;CHEBI:58853;CHEBI:57287;CHEBI:15378	EC:2.3.3.5 2-methylcitrate synthase	983
RHEA:23784	1.5.5.2	L-proline + a quinone = (S)-1-pyrroline-5-carboxylate + a quinol + H(+)	CHEBI:60039;CHEBI:132124;CHEBI:17388;CHEBI:24646;CHEBI:15378	EC:1.5.5.2 proline dehydrogenase	26876
