Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:32683	1.1.3.47	5-hydroxymethylfurfural + 3 O2 + 2 H2O = 2,5-dicarboxyfuran + 3 H2O2 + 2 H(+)	CHEBI:412516;CHEBI:15379;CHEBI:15377;CHEBI:83389;CHEBI:16240;CHEBI:15378	EC:1.1.3.47 5-(hydroxymethyl)furfural oxidase	1
RHEA:32691	4.2.3.106	(2E)-geranyl diphosphate = (E)-beta-ocimene + diphosphate	CHEBI:58057;CHEBI:64280;CHEBI:33019	EC:4.2.3.106 (E)-beta-ocimene synthase	21
RHEA:32699	4.2.3.123	(2E,6E)-farnesyl diphosphate = beta-sesquiphellandrene + diphosphate	CHEBI:175763;CHEBI:64361;CHEBI:33019	EC:4.2.3.123 beta-sesquiphellandrene synthase	3
RHEA:32731	3.1.1.79	a diacylglycerol + H2O = a monoacylglycerol + a fatty acid + H(+)	CHEBI:18035;CHEBI:15377;CHEBI:17408;CHEBI:28868;CHEBI:15378	EC:3.1.1.79 hormone-sensitive lipase	4742
RHEA:32755	1.14.20.5	(2S)-naringenin + 2-oxoglutarate + O2 = apigenin + succinate + CO2 + H2O + H(+)	CHEBI:17846;CHEBI:16810;CHEBI:15379;CHEBI:58470;CHEBI:30031;CHEBI:16526;CHEBI:15377;CHEBI:15378	EC:1.14.20.5 flavone synthase I	0
RHEA:32883	1.3.1.92	(11R)-dihydroartemisinic aldehyde + NADP(+) = (+)-artemisinic aldehyde + NADPH + H(+)	CHEBI:64691;CHEBI:58349;CHEBI:64688;CHEBI:57783;CHEBI:15378	EC:1.3.1.92 artemisinic aldehyde Delta(11(13)) reductase	1
RHEA:32887	1.13.11.63	all-trans-beta-carotene + O2 = 2 all-trans-retinal	CHEBI:17579;CHEBI:15379;CHEBI:17898	EC:1.13.11.63 beta-carotene 15,15'-dioxygenase	1715
RHEA:32899	1.14.14.133	1,8-cineole + reduced [flavodoxin] + O2 = 2-endo-hydroxy-1,8-cineole + oxidized [flavodoxin] + H2O + H(+)	CHEBI:27961;CHEBI:57618;CHEBI:15379;CHEBI:35811;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.133 1,8-cineole 2-endo-monooxygenase	1
RHEA:32903	1.14.14.24	calciol + reduced [NADPH--hemoprotein reductase] + O2 = calcidiol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:28940;CHEBI:57618;CHEBI:15379;CHEBI:17933;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.24 vitamin D 25-hydroxylase	3
RHEA:32951	5.4.99.11	sucrose = trehalulose	CHEBI:17992;CHEBI:79284	EC:5.4.99.11 isomaltulose synthase	0
RHEA:32963	3.5.1.111,3.5.1.3	2-oxoglutaramate + H2O = 2-oxoglutarate + NH4(+)	CHEBI:16769;CHEBI:15377;CHEBI:16810;CHEBI:28938	EC:3.5.1.3 omega-amidase;EC:3.5.1.111 2-oxoglutaramate amidase	1884
RHEA:32999	1.14.14.114	(+)-amorpha-4,11-diene + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = (+)-artemisinate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+)	CHEBI:52026;CHEBI:57618;CHEBI:15379;CHEBI:64782;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.114 amorpha-4,11-diene 12 monooxygenase	1
RHEA:33015	1.14.13.160	[(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA + NADPH + O2 + H(+) = [(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA + NADP(+) + H2O	CHEBI:64784;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:64785;CHEBI:58349;CHEBI:15377	EC:1.14.13.160 (2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase	1
RHEA:33023	1.1.1.343	6-phospho-D-gluconate + NAD(+) = D-ribulose 5-phosphate + CO2 + NADH	CHEBI:58759;CHEBI:57540;CHEBI:58121;CHEBI:16526;CHEBI:57945	EC:1.1.1.343 phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating);EC:1.1.1.351 phosphogluconate dehydrogenase [NAD(P)(+)-dependent, decarboxylating]	391
RHEA:33031	1.1.1.14	keto-D-fructose + NADH + H(+) = D-sorbitol + NAD(+)	CHEBI:48095;CHEBI:57945;CHEBI:15378;CHEBI:17924;CHEBI:57540	EC:1.1.1.14 L-iditol 2-dehydrogenase	254
RHEA:33055	3.1.7.2	guanosine 3'-diphosphate 5'-triphosphate + H2O = GTP + diphosphate + H(+)	CHEBI:142410;CHEBI:15377;CHEBI:37565;CHEBI:33019;CHEBI:15378	EC:3.1.7.2 guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	0
RHEA:33059	1.8.1.4	(R)-dihydrolipoamide + NAD(+) = (R)-lipoamide + NADH + H(+)	CHEBI:43711;CHEBI:57540;CHEBI:83094;CHEBI:57945;CHEBI:15378	EC:1.8.1.4 dihydrolipoyl dehydrogenase	0
RHEA:33063	1.18.1.5	2 reduced [2Fe-2S]-[putidaredoxin] + NAD(+) + H(+) = 2 oxidized [2Fe-2S]-[putidaredoxin] + NADH	CHEBI:33738;CHEBI:57540;CHEBI:15378;CHEBI:33737;CHEBI:57945	EC:1.18.1.5 putidaredoxin--NAD(+) reductase	1
RHEA:33071	4.2.3.124	D-glucose 6-phosphate = 2-deoxy-L-scyllo-inosose + phosphate	CHEBI:61548;CHEBI:64796;CHEBI:43474	EC:4.2.3.124 2-deoxy-scyllo-inosose synthase	8
RHEA:33079	3.2.2.30	6-amino-6-deoxyfutalosine + H2O = dehypoxanthine futalosine + adenine	CHEBI:64286;CHEBI:15377;CHEBI:58864;CHEBI:16708	EC:3.2.2.30 aminodeoxyfutalosine nucleosidase	3
RHEA:33099	2.3.1.57	spermine + acetyl-CoA = N(1)-acetylspermine + CoA + H(+)	CHEBI:45725;CHEBI:57288;CHEBI:58101;CHEBI:57287;CHEBI:15378	EC:2.3.1.57 diamine N-acetyltransferase	663
RHEA:33147	7.6.2.2	daunorubicin(in) + ATP + H2O = daunorubicin(out) + ADP + phosphate + H(+)	CHEBI:64677;CHEBI:30616;CHEBI:15377;CHEBI:456216;CHEBI:43474;CHEBI:15378	EC:7.6.2.2 ABC-type xenobiotic transporter	476
RHEA:33151	2.3.1.12	(R)-dihydrolipoamide + acetyl-CoA = (R)-S(6)-acetyldihydrolipoamide + CoA	CHEBI:43711;CHEBI:57288;CHEBI:83096;CHEBI:57287	EC:2.3.1.12 dihydrolipoyllysine-residue acetyltransferase	0
RHEA:33155	3.1.3.106	a 1-acyl-sn-glycero-3-phosphate + H2O = a 1-acyl-sn-glycerol + phosphate	CHEBI:57970;CHEBI:15377;CHEBI:64683;CHEBI:43474	EC:3.1.3.106 2-lysophosphatidate phosphatase	952
RHEA:33227	4.1.1.102	(E)-4-coumarate + H(+) = 4-vinylphenol + CO2	CHEBI:12876;CHEBI:15378;CHEBI:1883;CHEBI:16526	EC:4.1.1.102 phenacrylate decarboxylase	869
RHEA:33263	1.14.14.40	L-phenylalanine + 2 reduced [NADPH--hemoprotein reductase] + 2 O2 = (E)-phenylacetaldehyde oxime + 2 oxidized [NADPH--hemoprotein reductase] + CO2 + 3 H2O + 2 H(+)	CHEBI:58095;CHEBI:57618;CHEBI:15379;CHEBI:47793;CHEBI:58210;CHEBI:16526;CHEBI:15377;CHEBI:15378	EC:1.14.14.40 phenylalanine N-monooxygenase	2
