Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Acetobacter papayae,30,,,28,30,,,,,,,,30,,,30,,,,,,
Acetobacter pasteurianus,30,28,26,28,30,30,25,,26,30,26,26,30,,30,30,27,,,,,30
Acetobacter peroxydans,29,,,28,28,27,,,,,,26,30,,,30,,,,,,
Acetobacter persici,30,,,28,,,,,,,,,30,,,30,,,,,,
Acetobacter persicus,30,,,,30,,,,,,,,,,,,,,,,,
Acetobacter pomorum,30,,,28,30,30,,,,,30,,,30,,30,,,,,,30
Acetobacter rancens,30,,,,30,,,,,,,,,,,,,,,,,
Acetobacter senegalensis,28,,,28,28,28,,,,,35,,,,,,,,,,,
Acetobacter sicerae,28,,,28,28,,,,,,,,25,,,,,,,,,
Acetobacter species,28,28,,,,,,,,,,,,,,,,,,,,
Acetobacter suratthanensis,30,,,,,,,,,,,,,,,30,,,,,,
Acetobacter suratthaniensis,28,,,28,,,,,,,,,,,,,,,,,,
Acetobacter syzygii,30,,,28,30,30,,,,,30,,30,30,,30,,,,,,30
Acetobacter thailandicus,29,,,28,,,,,,,,,,,,30,,,,,,
Acetobacter tropicalis,30,30,,27,29,30,,,,,30,,30,,,30,,,,,,
Acetobacter xylinus,25,,,,,25,,,,,,,,,,,,,,,,
Acetohalobium arabaticum,37,,,,,37,,,,,37,,,,,,,,,,,
Acetomicrobium faecale,70,,,,,70,,,,,,,,,,,,,,,,
Acetomicrobium flavidum,55,,,55,,55,,,,,55,,,,,,,,,,,
Acetomicrobium hydrogeniformans,55,,,,,,,,,,55,,,,,,,,,,,
Acetomicrobium mobile,55,,,,,,,,,,55,,55,,,,,,,,,
Acetomicrobium thermoterrenum,50,,,,,,,,,,50,,,,,,,,,,,
Acetonema longum,30,,30,,,30,,,,,30,,,,,,,,,,,
Acholeplasma axanthum,30,,30,,,,,,,,,,,,,,,,,,,
Acholeplasma equirhinis,36,,37,,,,,,,,35,,,,,,,,,,,
Acholeplasma felis,37,,37,,,,,,,,,,,,,,,,,,,
Acholeplasma granularum,37,,,,,,,,,,,,,,,37,,,,,,
Acholeplasma laidlawii,37,,37,,,37,,,,,37,,,,,37,,,,,,37
Acholeplasma morum,37,,37,,,,,,,,,,,,,,,,,,,
Acholeplasma multilocale,37,,37,,,,,,,,,,,,,,,,,,,
Acholeplasma oculi,30,,30,,,,,,,,,,,,,,,,,,,
Acholeplasma palmae,30,,30,,,,,,,,,,,,,,,,,,,
Acholeplasma pleciae,30,,30,,,,,,,,,,,,,30,,,,,,
Acholeplasma vituli,37,,,,,37,,,,,,,,,,,,,,,,37
Achromobacter aegrifaciens,28,,,28,,,,37,,,,,,,,,,,,,28,30
Achromobacter agilis,29,,,28,,,,30,,,,,,,,,,,,,,
Achromobacter-Alcaligenes- Bordetella,37,,,,,,,37,,,,,,,,,,,,,,
Achromobacter aloeverae,29,,,28,,,,,,,,,,,,30,,,,,,
Achromobacter animicus,30,,,28,,,,30,,,30,,,,,,,,,,,30
Achromobacter anxifer,32,,,28,,,,37,,,,,,,,,,,,,,
Achromobacter buckleii,30,,,,,30,,,,,,,,,,,,,,,,
Achromobacter cholinophagum,25,,,,,25,,,,,,,,,,,,,,,,
Achromobacter cycloclastes,30,,,,,30,,,,,,,,,,,,,,,,
Achromobacter deleyi,30,,,28,,,,30,,,30,,30,,,,,,,,,
Achromobacter denitrificans,30,,32,28,26,28,30,30,30,37,30,,24,,,30,22,,42,,,
Achromobacter dolens,32,,,28,,,,37,,,,,,,,,,,,,,
Achromobacter fischeri,20,,,,,20,,,,,,,,,,,,,,,,
Achromobacter group,30,,,,,,,30,,,,,,,,,,,,,,
Achromobacter hartlebii,25,,,25,,25,,,,,,,,,,,,,,,,
Achromobacter immobilis,30,,,,,30,,,,,,,,,,,,,,,,
Achromobacter insolitus,37,,,37,37,37,37,37,,,28,,,,,,,,36,,28,30
Achromobacter insuavis,32,,,28,,,,37,,,,,,,,,,,,,,33
Achromobacter kerstersii,30,,,28,,,,33,,,,,,,,,,,,,,
Achromobacter-like group,28,,,,,28,,,,,,,,,,,,,,,,
Achromobacter liquefaciens,30,,,,30,,,,,,,,,,,,,,,,,
Achromobacter marplantensis,28,,,,,28,,,,,,,,,,,,,,,,
Achromobacter marplatensis,30,,,28,,,30,30,30,,30,,,,,,,,,,,30
Achromobacter mucicolens,30,,,28,,,,30,,,30,,,,,,,,,,,37
Achromobacter novel,30,,,,,,,30,,,,,,,,,,,,,,
Achromobacter/Oligella ?,37,,,,,,,37,,,,,,,,,,,,,,
Achromobacter panacis,25,,,,,,,,,,,,,25,,,,,,,,
Achromobacter pestifer,28,28,,28,,28,,30,,,,,,,,,,,,,,
Achromobacter phage,30,,,,,,,,,,30,,,,,,,,,,,
Achromobacter piechaudii,28,,,28,28,28,37,30,,,30,,25,,,25,20,,26,,,33
Achromobacter pulmonis,30,,,28,,,,33,,,30,,,,,,,,,,,30
Achromobacter ruhlandii,30,,,28,28,28,30,30,,,30,,30,,,,25,,,,30,30
Achromobacter spanios,36,,,,,,,,,,,,,,,,,,36,,,
Achromobacter spanius,37,,,37,37,37,37,30,,,29,,,,,,,,,,,37
Achromobacter spiritinus,30,,,,,,,,,,,,,,,,,,,,,30
Achromobacter veterisilvae,29,,,28,,,,30,,,,,,,,,,,,,,
Achromobacter xerosis,28,28,,,26,,,,,28,,,,,,,,,,,,
Achromobacter xylosoxidans,30,28,,28,30,30,37,37,30,,30,,30,,30,30,30,,37,,,30
Achromobacter xylosoxidans/denitrificans,30,,,,,,,30,,,,,,,,,,,,,,
Aciculoconidium aculeatum,25,25,,,,,,,,,25,,25,,,,,,,,,
Acidaminobacter hydrogenoformans,30,,,,,30,,,,,30,,,,,,,,,,,30
Acidaminococcus fermentans,37,,,,,37,,37,,,37,,,,,,,,,,,37
Acidaminococcus intestini,37,,,,,37,,,,,37,,,37,,,,,,,,37
Acidianus ambivalens,80,,,,,80,,,,,80,,,,,,,,,,,
