Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Bacillus lehensis,30,,,28,,26,,37,,,,,,,,,,,,,,
Bacillus lentus,30,30,,26,26,26,30,33,30,30,,,,30,30,30,30,,37,,28,30
Bacillus licheniformis,37,28,30,37,30,37,37,37,37,30,28,,37,37,38,30,30,,37,,30,30
Bacillus litoralis,33,,,,,33,,,,,,,,,,,,,,,,
Bacillus locisalis,37,,,,,,,,37,,,,,,,,,,,,,
bacillus loehnisii,37,,,,,,,,,,,,,,,,,,37,,,
Bacillus lonarensis,37,,,37,,,,,,,,,,,,,,,,,,
Bacillus longisporus,30,,,30,,30,,,,,,,,,,,,,,,,
Bacillus lubinskii,30,,,,,30,,,,,,,,,,,30,,,,,
Bacillus luciferensis,30,30,,30,,30,,,,,,,,,,,,,,,,30
Bacillus luteolus,30,,,,30,,,,,,,,,,,,,,,,,
Bacillus luteus,28,,,28,,,,,,,,,,,,,,,,,,
Bacillus luti,28,,,28,,,,,,,,,,28,,28,,,,,,30
Bacillus lycopersici,37,,,,37,,,,,,,,,,,,,,,,,
Bacillus macauensis,30,,,,,30,,,,,,,,,,,,,,,,
Bacillus macroides,33,,,,,30,,37,,,,,,,,,,,,,,
Bacillus macyae,30,,,,,30,,,,,,,,,,,,,,,,
Bacillus magaterium,37,,,,,,,,,37,,,,,,,,,,,,
Bacillus malacitensis,30,30,,,,,,,,,,,,,,,,,,,,
Bacillus malikii,28,,,28,,,,,,,,,,,,,,,,,,
Bacillus manliponensis,30,,,,,,,,,,30,,30,30,,,,,,,,30
Bacillus mannanilyticus,35,,,,,33,,,,,,,,,,,,,,,,37
Bacillus manusensis,50,,,,,,,,,,,,,50,,,,,,,,
Bacillus marinisedimentorum,33,,,,,,,,,,,,,33,,,,,,,,
Bacillus marisflavi,29,,,28,28,30,,,,,,,,,,,,,,,,30
Bacillus marismortui,37,,,,,37,,,,,,,,,,,,,,,,
Bacillus maroccanus,30,,,,,30,,30,,,,,,,,,,,,,,30
Bacillus massiliensis,30,,,28,,32,,,,,,,,,,,,,,,,
Bacillus massiliogabonensis,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus massiliogorillae,37,,,,,,,,,,37,,,,,,,,,,,
Bacillus mediterraneensis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus medusa,30,,,,,30,,,,,,,,,,,30,,,,,
Bacillus megaterium,30,28,30,30,30,30,30,37,30,30,,30,,,30,30,30,,37,,30,30
Bacillus mesophilum,30,,,,,,,,,,,,30,,,,,,,,,
Bacillus mesophilus,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus methanolicus,45,,,52,,48,,,,,45,,,,,,45,,,,,
Bacillus methylotrophicus,30,,,,,,,,30,30,,,,,,,,,,,,
Bacillus mobilis,28,,,28,,,,,,,,,,28,,28,,,,,,30
Bacillus mojavensis,30,28,30,30,37,33,,,30,30,28,28,30,30,,30,,,,,,37
Bacillus mucilaginosus,30,,,,,,,,,30,,,,,,,,,,,,
Bacillus muralis,28,,,28,30,28,,33,,28,,,,,,,,,,,,
Bacillus murimartini,28,,,28,28,28,,,,,,,,,,,20,,,,,
Bacillus mycobacterial,32,,,,,,,,,32,,,,,,,,,,,,
Bacillus mycoides,30,28,30,30,30,30,30,37,30,30,30,30,30,25,30,30,30,,37,,30,30
Bacillus naganoensis,28,28,,,,,,,,,,,,,,,,,,,,
Bacillus nakamurai,33,30,,,,,,37,,,,,,,,,,,,,,
Bacillus nanhaiensis,33,,,,30,,,37,,,,,,,,,,,,,,
Bacillus natto,30,,,,,,,,,30,,,,,,,,,,,,
Bacillus ndiopicus,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus nealsonii,30,,,,30,30,,,,,,,,,,,,,,,,30
Bacillus negevensis,30,30,,,,,,,,,,,,,,,,,,,,
Bacillus neidei,30,,,,,30,,,,,,,,,,,,,,,,
Bacillus neizhouensis,20,,,20,,,,,,,,,,,,,,,,,,
Bacillus niabensis,30,,,,30,30,,,,37,,,,,,,,,,,,
Bacillus niacini,30,28,,30,,30,,30,,,,,,30,,30,,,,,,
Bacillus niameyensis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus nitratireducens,28,,,28,,,,,,,,,,28,,28,,,,,,30
Bacillus nitritollens,30,,,30,,30,,,,,,,,,,,,,,,,
Bacillus novalis,28,,,28,,28,,37,,,,,,,,30,,,,,,
Bacillus novalis/vireti-group,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus oceanisediminis,30,,,,37,30,,,,30,,,,,,,,,,,,
Bacillus ochoae,32,,32,,,,,,,,,,,,,,,,,,,
Bacillus odysseyi,30,,,28,,30,,,,,,,,,,,,,,,,30
Bacillus okhensis,37,,,,,37,,,,,,,,,,,,,,,,
Bacillus okuhidensis,45,,,45,45,45,,,,,,,,,,,,,,,,
Bacillus olasiensis,37,,,37,,,,,,,,,,,,,,,,,,
Bacillus oleivorans,37,,,37,,,,37,,,,,,,,,,,,,,
Bacillus oleronius,30,,,30,30,30,,37,,30,,,,,,,,,,,,30
Bacillus onubensis,29,,,28,,,,,30,,,,,,,,,,,,,
Bacillus oryzicola,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus oshimensis,30,30,,28,,30,,,,,,,,,,,,,,,,
Bacillus pacificus,30,,,,30,27,,,,,,,,28,,28,30,,,,,30
Bacillus pakistanensis,30,,,,,,,,,,30,,30,32,,,,,,,,
Bacillus panaciterrae,29,,,28,,29,,,,,,,,,,,,,,,,30
Bacillus paraflexus,30,,,,,,30,,,,,,,,,,,,,,,30
Bacillus paramobilis,30,,,,,,,,,,,,30,,,,,,,,,
Bacillus paramycoides,28,,,28,,,,,,,,,,28,,28,,,,,,30
Bacillus paranthracis,29,,30,28,30,,,,,,,,,28,,28,,,,,,30
Bacillus pasinlerensis,55,,,,,,,,55,,,,,,,,,,,,,
Bacillus patagoniensis,29,,,28,,30,,,,,,,,,,,,,,,,
Bacillus persepolensis,37,,,,,37,,,,,,,,,,,,,,,,
Bacillus persicus,33,,,37,,,,,30,,,,,,,,,,,,,
Bacillus pervagus,33,,,30,,,,,,,37,,,,,,,,,,,
Bacillus phage,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus phocaeensis,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus piscicola,29,,,28,,,,,,,,,30,,,,,,,,,
Bacillus piscis,25,,,,,,,,,,,,25,,,,,,,,,
Bacillus plakortidis,28,,,28,20,28,,,,,,,,,,,,,,,,
Bacillus polyfermenticus,37,,,,,,,,,37,,,,,,,,,,,,
Bacillus polygoni,28,,,28,,28,,,,,,,,,,,,,,,,
Bacillus polymachus,30,,,,,,,,,,,,,,,30,,,,,,
Bacillus proteolyticus,28,,,28,,,,,,,,,,28,,28,,,,,,30
Bacillus pseudalcaliphilus,30,30,,28,,30,,,,,,,,,,,,,,,,
Bacillus pseudoalcaliphilus,30,28,,,,30,,,,,,,,,40,,,,,,,30
Bacillus pseudoboroniphilus,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus pseudofirmus,30,30,,28,37,30,,30,,30,,,,,,,,,,,,
Bacillus pseudoflexus,30,,,,,,30,,,,,,,,,,,,,,,
Bacillus pseudogordonae,30,,,,,30,30,,,,,,,,,,30,,,,,30
Bacillus pseudomegaterium,30,,,,,30,,,,,,,,,,,,,,,,30
Bacillus pseudomycoides,30,28,,30,30,30,,,30,,30,,30,,,30,,,,,,30
Bacillus psychrodurans,28,,,,,25,22,37,,,,,,,,,,,,,,
Bacillus psychrodurans-complex,33,,,,,,,33,,,,,,,,,,,,,,
Bacillus psychrophilus,22,,,,22,,,,,,,,,,,,,,,,,
Bacillus psychrosaccharolyticus,20,20,,15,17,20,20,33,20,37,,,,20,,15,25,,,,,
Bacillus psychrotolerans,23,,,,,25,22,,,,,,,,,,,,,,,
Bacillus pulvifacieus,30,,,,,,,,,30,,,,,,,,,,,,
Bacillus pumilus,30,30,30,30,30,30,30,37,30,37,28,,30,30,30,30,30,,37,,30,30
Bacillus purgationiresistans,28,,,28,,,,,,,,,,,,,,,,,,
Bacillus purgationiresistens,30,,,,,,,,,30,,,,,,,,,,,,
Bacillus pycnus,30,28,,,,30,,33,,,,,,,,,,,,,,
Bacillus qingdaonensis,37,,,,,37,,,,,,,37,,,,,,,,,37
Bacillus racemilacticus,30,,,,,30,,,,,,,30,,,,,,,,,30
Bacillus rigiliprofundi,29,,,28,,,,,,,,,,,,,,30,,,,
Bacillus rigui,30,,,,30,30,,,,,,,30,,,,,,,,,30
Bacillus rubiinfantis,37,,,,,,,,,,37,,,,,,,,,,,
Bacillus ruffinii,32,,32,,,,,,,,,,,,,,,,,,,
Bacillus ruris,30,,,37,,33,30,,,,,,,,,,,,,,,30
Bacillus saccharoacetobutylicim,37,,,,,,,,,37,,,,,,,,,,,,
Bacillus safensis,30,,,32,30,29,,,37,37,29,,,,,30,,,,,30,33
Bacillus salacetis,37,,,,,,,,,,,,37,,,,,,,,,
Bacillus salarius,30,,,,,30,,,,,,,,,,,,,,,,30
Bacillus salinus,29,,,,,,,,28,,,,,30,,,,,,,,
Bacillus saliphilus,37,,,,,37,,,,,,,,,,,,,,,,
Bacillus salis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus salitolerans,28,,,,,,,,,,,,28,,,,,,,,,
Bacillus sanguinis,30,,,,,,,,,,,,30,,,,,,,,,
Bacillus schlegelii,65,,,,,65,,,,,,,,,,,65,,,,,
Bacillus selenitireducens,26,,,,,26,,,,,,,,,,,,,,,,
Bacillus seohaeanensis,33,,,,,33,,,,,30,,,34,,,,,,,,37
Bacillus shacheensis,30,,,,,,,,,30,,,,30,,,,,,,,
Bacillus shackletonii,30,,,30,30,30,,,,30,,,,,,,,,,,,30
Bacillus shivajii,37,,,,,,,,,,,,37,,,,,,,,,
Bacillus siamensis,37,,,37,37,37,,,,,30,,,37,,,,,,,,37
Bacillus silvestris,30,,,,30,30,,37,,,,,,,,,,,,,,
Bacillus silvestris-like,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus similicirculans,30,30,,,,,,,,,,,,,,,,,,,,
Bacillus simpiex,36,,,,,,,,,36,,,,,,,,,,,,
Bacillus simplex,30,,,,30,30,30,37,26,36,,,,30,,30,30,,,,,
Bacillus simplex-complex,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus sinesaloumensis,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus siralis,30,,,28,,30,,,,,,,,30,,,,,,,,30
Bacillus smithii,55,37,47,55,50,55,60,49,,55,55,,55,55,,55,,,,,,55
Bacillus solfatarae,50,,50,,,,,,,,,,,,,,,,,,,
Bacillus soli,28,,,28,,28,,,,,,,,,,30,,,,,,
Bacillus solimangrovi,30,,,,,,,,,,30,,30,32,,,,,,,,
Bacillus solisalsi,30,,,,30,,,,,,,,,,,,,,,,,
Bacillus solitudinis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus songklensis,30,,,,,,,30,,,,,,30,,,,,,,,
Bacillus sonorensis,30,28,,28,30,30,,,,37,30,,30,30,,30,,,37,,28,30
Bacillus species,30,30,,,,,,,,,,,,,,,,,,,,
Bacillus sphaericus,33,,,,30,30,,37,,37,,,,,,,,,37,,,30
Bacillus sphaericus-like,37,,,,,,,37,,,,,,,,,,,,,,
"Bacillus sphaericus-like,Nakamura",37,,,,,,,37,,,,,,,,,,,,,,
Bacillus spizizenii,30,,30,30,,,,,,,30,,,30,30,,,,,,,
Bacillus sp.nov.2,28,,,,,28,,,,,,,,,,,,,,,,
Bacillus spongiae,27,,,25,,,,,,,30,,,,,,,,,,,
Bacillus sporothermadurans,30,,,,,30,,,,,,,,,,,,,,,,
Bacillus sporothermodurans,37,,,37,30,37,37,37,,,,,,,,,,,,,,30
Bacillus stearothermophilus,60,,,,,,,,,,,,,,,,,,60,,,
Bacillus stercoris,45,,,,,,,,,,,,45,45,,,,,,,,
Bacillus subsp.amyloliquefaciens,36,,,,,,,,,36,,,,,,,,,,,,
Bacillus subterraneus,38,,,37,,40,,,,,,,,,,,,,,,,
Bacillus subtilis,30,28,30,30,30,30,30,37,30,37,28,30,30,30,28,30,30,,37,,30,30
Bacillus subtilis-group,37,,,,,,,37,,,,,,,,,,,,,,
Bacillus subtilus,28,,,,,,,,,28,,,,,,,,,,,,
Bacillus sulfasportare,35,,35,,,,,,,,,,,,,,,,,,,
Bacillus swezeyi,33,30,,,,,,37,,,,,,,,,,,,,,
Bacillus taeanensis,30,,,,25,30,,,,,30,,,35,,,,,,,,30
Bacillus taiwanensis,37,,,,37,,,,,,,,,,,,,,,,,
Bacillus telluris,37,,,,,,,,,,,,37,,,,,,,,,
Bacillus tepidiphilus,45,,,,,,,,,,,,,45,,,,,,,,
Bacillus tequilensis,31,28,30,28,30,28,,,,37,,,37,37,,,,,,,,30
Bacillus terrae,29,,,28,,,,,30,,,,,,,,,,,,,
Bacillus thaonhiensis,37,,,,,,,,,,,,37,,,,,,,,,
Bacillus thermantarcticus,53,,,,,53,,,,,,,,,,,,,,,,
Bacillus thermoamylovorans,41,,,50,,45,,37,,37,45,,,,,,,,,,,30
Bacillus thermocloacae,55,,60,55,,55,,,,,55,,,,,,,,,,,
Bacillus thermocloaceae,55,,,,,55,,,,,,,,,,,55,,,,,
Bacillus thermolactis,55,,,55,,55,,,,,,,,,,,,,,,,
Bacillus thermoliquefaciens,60,,,,,,,,,60,,,,,,,,,,,,
Bacillus thermosphaericus,55,,,,,,55,,,,,,,,,,,,,,,
Bacillus thermoterrestis,55,,,,,55,,,,,55,,,,,,,,,,,
Bacillus thioparans,25,,,,25,25,,,30,,,,,,,,,,,,,
Bacillus thuringiensis,30,28,30,30,30,30,30,33,30,30,30,30,30,30,27,30,30,,,,30,30
Bacillus tianmuensis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus tianshenii,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus timonensis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus toyonensis,30,,,,30,,,,30,,,,28,,,,,,,,30,30
Bacillus tropicus,28,,,28,,,,,,,,,,28,,28,,,,,,30
Bacillus trypoxylicola,28,,,,,,,,,,,,,,,28,,,,,,
Bacillus tusciae,50,,,,,50,,,,,,,,,,,,,,,,
Bacillus vallismortis,30,28,,28,30,30,,37,,37,30,,30,30,,30,,,,,,30
Bacillus vedderi,30,28,,30,,30,,,,,30,,,,,,,,,,,30
Bacillus velezensis,30,31,,28,30,,,,37,,30,,,37,,,,,,,30,
Bacillus vietnamensis,30,28,,28,30,30,,,,,,,,,,30,,,,,,30
Bacillus vietnamiensis,28,,,,,28,,,,,,,,,,,,,,,,
Bacillus vireti,30,,,28,,30,,37,,,,,,,,30,,,,,,
Bacillus viscosus,30,,,,,30,30,,,,,,,,,,30,,,,,30
Bacillus wakoensis,33,,,,,33,,,,,,,,,,,,,,,,
Bacillus weihenstephanensis,30,28,30,,30,30,30,33,,,,,,,,,,,,,,
Bacillus wiedmannii,30,,,28,,,,,,,30,,,,,,,,,,,30
Bacillus wudalianchiensis,30,,,,,,,,,,30,,,,,,,,,,,
Bacillus xerothermodurans,55,55,,,,,,,,,,,,,,,,,,,,
Bacillus xiamenensis,30,,,28,30,,,,,,30,,,,,,,,,,,
Bacillus xiapuensis,28,,,,,,,,,,,,28,,,,,,,,,
Bacillus yapensis,37,,,,,,,,,,,,37,,,,,,,,,
Bacillus zhangzhouensis,28,,,28,,,,,,,,,,,,,,,,,,
Bacillus zvezdaensis,37,,,,,,,,,,,,,,,,,,,,,37
Bacterial consortium,26,,26,,,,,,,,,,,,,,,,,,,
Bacteriocin plasmid,30,,,,,,,,,,30,,,,,,,,,,,
Bacterioplanes sanyensis,37,,,,,,,,,,,,,37,,,,,,,,
Bacterioplanoides pacificum,28,,,,,,,,,,,,28,28,,,,,,,,
Bacteriovorax litoralis,25,,,,,25,,,,,,,,,,,,,,,,
Bacteriovorax marinus,25,,,,,25,,,,,,,,,,,,,,,,
Bacteriovorax starrii,30,,,,,30,,,,,,,,,,,,,,,,
Bacteriovorax stolpii,30,,,,,30,,,,,30,,,,,,,,,,,
Bacteroides acidifaciens,37,,,,37,37,,37,,,37,,37,37,,,,,,,,
Bacteroides barnesiae,37,,,,,37,,,,,,,,37,,,,,,,,
Bacteroides bouchesdurhonensis,37,,,,,,,,,,37,,,,,,,,,,,
Bacteroides caccae,37,,37,37,,37,,37,,,37,,37,,,,,,,,,37
Bacteroides caecicola,37,,,,,,,,,,,,,,,37,,,,,,
Bacteroides caecigallinarum,37,,,,,,,,,,,,,,,37,,,,,,
Bacteroides caecimuris,37,,,,,,,,,,37,,,37,,,,,,,,
Bacteroides cellulosilyticus,37,,,37,,,,37,,,37,,37,37,,,,,,,,
Bacteroides cellulosolvens,35,,,,,35,,,,,,,,,,,,,,,,
Bacteroides clarus,37,,,37,,,,,,,37,,37,37,,,,,,,,
Bacteroides coagulans,37,,,37,,37,,,,,,,,,,,,,,,,
Bacteroides congonensis,37,,,,,,,37,,,,,,,,,,,,,,
Bacteroides coprocola,37,,,,,37,,,,,,,,,,,,,,,,
Bacteroides coprosuis,37,,,,,37,,37,,,37,,37,37,,,,,,,,
Bacteroides distasonis,42,,,,,,,,,,,,,,,,,,42,,,
Bacteroides dorei,37,,,37,,37,,,,,,,,,,,,,,,,
Bacteroides eggerthii,37,,,,,37,,37,,,37,,37,37,,,,,37,,,37
Bacteroides faecalis,37,,,,,,,,,,37,,37,37,,,,,,,,
Bacteroides faecichinchillae,37,,,,,,,37,,,37,,37,37,,,,,,,,
Bacteroides faecis,37,,,,,,,37,,,37,,37,37,,,,,,,,
Bacteroides faecium,37,,37,,,,,,,,,,,,,,,,,,,
Bacteroides finegoldii,37,,,,,37,,37,,,37,,37,37,,,,,,,,
bacteroides flavofluorescens,37,,,,,,,,,,,,,,,,,,37,,,
Bacteroides fluxus,37,,,,,,,37,,,37,,37,37,,,,,,,,
Bacteroides fragilis,37,,37,37,37,37,37,37,,,37,,37,,37,,,,37,,,37
Bacteroides galacturonicus,37,,,,,37,,,,,37,,,,,,,,,,,
Bacteroides gallinaceum,37,,,,,,,,,,,,,,,37,,,,,,
Bacteroides gallinarum,37,,,,,37,,37,,,37,,37,37,,,,,,,,
Bacteroides graminisolvens,30,,,,,,,37,,,35,,30,30,,,,,,,,
Bacteroides helcogenes,37,,37,,,37,37,37,,,37,,37,37,,,,,,,,
Bacteroides ihuae,30,,,,,,,30,,,,,,,,,,,,,,
Bacteroides innocuum,37,,,37,,,,,,,,,,,,,,,,,,
Bacteroides intestinalis,37,,,,,37,,37,,,37,,37,37,,,,,,,,
Bacteroides lentus,37,,,,,,,,,,,,,,,,,,37,,,
Bacteroides luhongzhouii,37,,,,,,,,,,,,37,,,,,,,,,
Bacteroides luti,37,,,,,,,,,,37,,37,,,,,,,,,
Bacteroides massiliensis,37,,,,,37,,,,,,,,,,,,,,,,37
Bacteroides matruchotii,37,,,,37,,,,,,,,,,,,,,,,,
Bacteroides merdae,37,,,,,37,,,,,,,,,,,,,,,,37
Bacteroides neonati,37,,,,,,,,,,37,,,,,,,,,,,
Bacteroides nordii,37,,,,,37,,37,,,37,,37,,,,,,,,,
Bacteroides oleiciplenus,37,,,,,,,37,,,37,,37,37,,,,,,,,
Bacteroides ovatus,37,,37,37,37,37,,37,,,37,,37,37,,,,,37,,,37
Bacteroides pectinophilus,37,,37,,,,,,,,,,,,,,,,,,,
Bacteroides phage,37,,,,,,,,,,37,,,,,,,,,,,
Bacteroides plebeius,37,,,,,37,,,,,,,,,,,,,,,,
Bacteroides propionicifaciens,30,,,,,,,,,,33,,30,30,,,,,,,,
Bacteroides pyogenes,37,,37,,,37,37,37,,,37,,37,37,,,,,,,,
Bacteroides reticulotermitis,37,,,,,,,37,,,37,,37,37,,,,,,,,
Bacteroides rodentium,37,,,,,,,37,,,37,,37,37,,,,,,,,
Bacteroides salanitronis,37,,,,,37,,,,,,,,,,,,,,,,
Bacteroides salyersiae,37,,37,37,,37,,37,,,37,,37,37,,,,,,,,
Bacteroides sedimenti,30,,,,,,,,,,,,30,30,,,,,,,,
Bacteroides species,37,,,,,,,37,,,,,,,,,,,,,,
Bacteroides splanchnicus,37,,,,,37,,,,,,,,,,,,,37,,,
Bacteroides stercorirosoris,37,,,,,,,37,,,37,,37,,,,,,,,,
Bacteroides stercoris,37,,37,37,,,,,,,37,,37,37,,,,,36,,,37
Bacteroides suis,37,,37,,,37,37,,,,,,,,,,,,,,,
Bacteroides tectus,37,,37,,,,,37,,,,,,,,,,,59,,,
Bacteroides thetaiotaomicron,37,,37,37,37,37,37,37,,,37,,37,37,,,,,37,,,37
Bacteroides timonensis,37,,,,,,,,,,37,,,,,,,,,,,
Bacteroides togonis,37,,,,,,,,,,37,,,,,,,,,,,
Bacteroides uniformis,37,,,37,,37,,37,,,37,,37,37,,,,,,,37,
Bacteroides ureolyticus,37,,37,,,37,,,,,,,,,,,,,37,,,
Bacteroides vulgatus,37,,37,37,37,37,,,,37,,,,,,37,,,37,,,37
Bacteroides xylanisolvens,37,,,,,,,37,37,,37,,37,37,,,,,,,,
Bacteroides xylanolyticus,30,,,,,30,,,,,,,,,,,,,,,,
Bacteroides zhangwenhongii,37,,,,,,,,,,,,37,,,,,,,,,
Bactoderma rosea,30,,,,,,,,30,,,,,,,,,,,,30,
Baekduia soli,29,,,28,,,,,,,,,,30,,,,,,,,
Baileyella intestinalis,37,,,,,,,,,,37,,37,,,,,,,,,
Bailinhaonella thermotolerans,32,,,,,,,,,,28,,,37,,,,,,,,
Ballistosporomyces sasicola,18,20,,,,,,,,,,,17,,,,,,,,,
Ballistosporomyces taupoensis,25,,,,,,,,,,,,25,,,,,,,,,
Ballistosporomyces xanthus,17,,,,,,,,,,,,17,,,,,,,,,
Balnearium lithotrophicum,70,,,,,70,,,,,70,,70,,,,,,,,,
Balneatrix alpica,30,,30,,,30,,37,,,30,,,,,,,,,,,30
Balneicella halophila,35,,,,,,,,,,35,,35,,,,,,,,,
Balneimonas flocculans,42,,,,,42,,,,,,,,,,,,,,,,
Balneola alkaliphila,27,,,,,,,,,,25,,,,,,,,,,,30
Balneola vulgaris,25,,,,,25,,,,,28,,,,,,,,,,,25
Bandonia marina,18,20,,,,,,,,,,,17,,,,,,,,,
Bannoa bischofiae,25,,,,,,,,,,,,25,,,,,,,,,
Bannoa hahajimensis,25,,,,,,,,,,,,25,,,,,,,,,
Bannoa ogasawarensiss,25,,,,,,,,,,,,25,,,,,,,,,
Bannoa syzygii,25,,,,,,,,,,,,25,,,,,,,,,
Bannozyma yamatoana,21,25,,,,,,,,,,,17,,,,,,,,,
Bariatricus massiliensis,37,,,,,,,,,,37,,,,,,,,,,,
Barnesiella intestinihominis,37,,,,,,,,,,37,,37,,,,,,,,,
Barnesiella viscericola,37,,,,,37,,37,,,37,,37,,,,,,,,,
Barnettozyma californica,25,25,,,,,,,,,25,,25,,,,,,,,,
Barnettozyma hawaiiensis,25,25,,,,,,,,,,,,,,,,,,,,
Barnettozyma populi,25,25,,,,,,,,,,,,,,,,,,,,
Barnettozyma pratensis,25,25,,,,,,,,,,,,,,,,,,,,
Barnettozyma salicaria,25,25,,,,,,,,,,,25,,,,,,,,,
Barnettozyma vustinii,22,,,,,,,,,,22,,,,,,,,,,,
Barnettozyma wickerhamii,25,25,,,,,,,,,,,25,,,,,,,,,
Barrientosiimonas endolithica,30,,,,,,,,,,,,,30,,30,,,,,,
Barrientosiimonas humi,28,,,,,,,,,,28,,28,,,,,,,,,
Barrientosiimonas marina,28,,,,,,,,,,28,,28,30,,,,,,,,
Bartonella acomydis,36,,,,,,,,,,37,,35,36,,,,,,,,
Bartonella alsatica,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella ancashensis,30,,,,,,,,,,30,,,,,,,,,,,
Bartonella apis,37,,,,,,,,,,37,,,,,,,,,,,
Bartonella australis,37,,,,,37,,37,,,,,,,,,,,,,,37
Bartonella bacilliformis,30,,26,,,30,,30,,,,,,,,,,,7,,,30
Bartonella birtlesii,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella bovis,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella callosciuri,35,,,,,,,,,,37,,35,35,,,,,,,,
Bartonella capreoli,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella chomelii,37,,,,,37,,37,,,37,,,,,,,,,,,37
Bartonella clarridgeiae,37,,,,,37,,,,,,,,,,,,,,,,37
Bartonella coopersplainsensis,37,,,,,,,,,,37,,,,,,,,,,,37
Bartonella doshiae,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella dromedarii,37,,,,,,,,,,,,,,,,,,,,,37
Bartonella elizabethae,37,,37,,,37,,,,,37,,,,,,,,,,,37
Bartonella florencae,37,,,,,,,,,,37,,,,,,,,,,,
Bartonella fuyuanensis,37,,,,,,,,,,37,,,,,,,,,,,
Bartonella grahamii,37,,,,,37,,,,,,,,,,,,,10,,,37
Bartonella heixiaziensis,37,,,,,,,,,,37,,,,,,,,,,,
Bartonella henselae,37,,37,,,37,,37,,,37,,,,,,,,72,,,37
Bartonella jaculi,35,,,,,,,,,,37,,35,35,,,,,,,,
Bartonella japonica,36,,,,,37,,,,,35,,35,,,,,,,,,37
Bartonella koehlerae,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella pachyuromydis,35,,,,,,,,,,37,,35,35,,,,,,,,
Bartonella phoceensis,37,,,,,37,,,,,,,,,,,,,,,,37
Bartonella queenslandensis,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella quintana,37,,,,,37,,,,,37,,,,,,,,10,,,37
Bartonella rattaustraliani,37,,,,,37,,,,,37,,,,,,,,,,,37
Bartonella rattimassiliensis,37,,,,,37,,,,,,,,,,,,,,,,37
Bartonella rochalimae,36,,35,,,,,,,,37,,,,,,,,,,,
Bartonella schoenbuchensis,36,,,,,36,,,,,35,,,,,,,,,,,37
Bartonella silvatica,36,,,,,37,,,,,35,,35,,,,,,,,,37
Bartonella silvicola,35,,35,,,,,,,,,,,,,,,,,,,
Bartonella tamiae,37,,37,,,,,,,,,,,,,,,,,,,
Bartonella taylorii,37,,,,,37,,,,,,,,,,,,,,,,37
Bartonella tribocorum,37,,,,,37,,37,,,37,,,,,,,,,,,37
Bartonella vinsonii,37,,37,,,37,,37,,,37,,,,,,,,,,,37
Bartonella washoensis,37,,37,,,,,37,,,,,,,,,,,,,,
Basfia succiniciproducens,37,,,,,,,37,,,37,,,,,,,,,,,
Basidiobolus heterosporus,24,24,,,,,,,,,,,,,,,,,,,,
Basidiobolus microsporus,25,25,,,,,,,,,26,,,,,,,,,,,
Basidiobolus ranarum,24,25,,,,,,,,,24,,,,,,,,,,,
Basilea psittacipulmonis,33,,,,,,,,,,37,,,,,,,,,,,30
Bauldia consociata,30,,,,,,30,,,,,,,,,,,,,,,
Bavariicoccus seileri,35,,,,,,,37,,,34,,,,,,,,,,,
Bdellovibrio bacteriovorus,30,,26,,,30,,,,,30,,,,,,,,,,,30
Beauveria bassiana,25,25,,,,,,,,25,24,,,,,,,,,,,
Beauveria brongniartii,25,,,,,,,,,,25,,,,,,,,,,,
Beauveria felina,25,,,,,,,,,,25,,,,,,,,,,,
Beduini massiliensis,37,,,,,,,,,,37,,,,,,,,,,,
Beggiatoa alba,28,,30,,,27,,,,,28,,,,,,,,,,,
Beggiatoa leptomitoformis,25,,,,,,,,,,25,,,,,,,,,,,
Beijerinckia acida,25,,,,,,,,,,,,,,,,25,,,,,
Beijerinckia congensis,30,,,,,30,,,,,,,,,,,,,,,,
