Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	loss_val	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
191	74350.625	5.0655	1.5689	2.2507	0.8019	12.2145	2.3805	2.3958	3.4949	3.477	0.5279	0.5249	3.3813919135227317e-06
192	74987.8816	5.1175	1.5773	2.2622	0.7998	12.2456	2.3826	2.3965	3.4994	3.4787	0.5267	0.5245	3.3813919135227317e-06
193	75650.4175	5.0566	1.5662	2.2487	0.8022	12.2347	2.3798	2.393	3.4978	3.4734	0.5271	0.5259	3.0432527221704586e-06
194	76234.2218	5.0962	1.5766	2.2575	0.8007	12.2093	2.3796	2.3909	3.4942	3.4699	0.5281	0.5269	3.0432527221704586e-06
195	76686.2475	5.095	1.5724	2.2572	0.8007	12.1241	2.3705	2.3878	3.482	3.4643	0.5313	0.5284	3.0432527221704586e-06
196	77120.3975	5.0297	1.563	2.2427	0.8033	12.2302	2.3784	2.3902	3.4972	3.4709	0.5272	0.5266	2.7389274499534128e-06
197	77556.8589	5.0803	1.5765	2.2539	0.8013	12.2232	2.3775	2.3892	3.4962	3.4682	0.5275	0.5273	2.7389274499534128e-06
198	77972.759	5.0735	1.5692	2.2524	0.8016	12.1785	2.3738	2.3884	3.4898	3.4647	0.5292	0.5283	2.7389274499534128e-06
199	78408.3533	5.1417	1.5783	2.2675	0.7989	12.1782	2.3732	2.3891	3.4897	3.4655	0.5293	0.5281	2.4650347049580716e-06
200	78863.6348	5.055	1.5628	2.2483	0.8023	12.1738	2.371	2.3856	3.4891	3.4651	0.5294	0.5282	2.4650347049580716e-06
