rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.149566,0.280174,0.114575,0.135641,0.176873,0.100597,0.135959,0.350175,0.098839,1
0.105217,0.64377,0.081769,0.122258,0.33129,0.091642,0.115255,0.533019,0.086395,2
0.08654,0.759012,0.067581,0.114386,0.414627,0.086603,0.110661,0.569506,0.084576,3
0.072007,0.833156,0.055444,0.112239,0.436397,0.084111,0.109559,0.578036,0.083812,4
0.062408,0.874673,0.047449,0.108518,0.473144,0.079638,0.107039,0.597226,0.082887,5
0.054967,0.902778,0.041256,0.11288,0.429941,0.084099,0.109818,0.57604,0.082971,6
0.049914,0.91983,0.037484,0.108656,0.471801,0.080207,0.108123,0.589027,0.080585,7
0.045879,0.932269,0.034622,0.109527,0.463308,0.08035,0.107211,0.595929,0.078631,8
0.042989,0.940532,0.032805,0.106415,0.493367,0.078363,0.102695,0.62925,0.077134,9
0.03973,0.949208,0.029796,0.108298,0.475283,0.079756,0.102832,0.628262,0.07745,10
0.039841,0.948922,0.030809,0.105613,0.500973,0.078261,0.098927,0.655963,0.071887,11
0.031745,0.967572,0.023951,0.105822,0.499002,0.07865,0.098023,0.662223,0.070823,12
0.027719,0.975276,0.020008,0.105779,0.499407,0.078765,0.09737,0.666708,0.070044,13
0.024894,0.980059,0.017144,0.105631,0.500808,0.078695,0.096815,0.670494,0.069378,14
0.022667,0.983467,0.01491,0.105379,0.503182,0.078402,0.096329,0.673793,0.068926,15
0.020859,0.986,0.013145,0.105107,0.505742,0.078125,0.095942,0.67641,0.068482,16
0.019327,0.98798,0.0117,0.104856,0.508108,0.077898,0.095605,0.678681,0.068034,17
0.018116,0.989439,0.010551,0.104667,0.50988,0.077709,0.09534,0.680456,0.067613,18
0.017157,0.990528,0.009675,0.104424,0.512152,0.07746,0.095143,0.681778,0.067347,19
0.01628,0.991472,0.008814,0.104282,0.513471,0.077253,0.094984,0.68284,0.067176,20
0.016175,0.991582,0.00995,0.104217,0.514086,0.076833,0.095057,0.68235,0.067077,21
0.015016,0.992745,0.008889,0.104194,0.514295,0.076701,0.095175,0.681564,0.067031,22
0.014275,0.993443,0.008132,0.104204,0.514199,0.076641,0.095276,0.680885,0.06701,23
0.013688,0.993971,0.007532,0.104236,0.513901,0.076639,0.095398,0.680069,0.067023,24
0.013201,0.994393,0.007027,0.104277,0.513517,0.076657,0.095498,0.679398,0.067045,25
0.012779,0.994745,0.006594,0.104314,0.51318,0.076673,0.095579,0.678851,0.067052,26
0.012406,0.995047,0.00621,0.104367,0.512685,0.0767,0.095647,0.678397,0.067046,27
0.012073,0.99531,0.005864,0.104396,0.512409,0.076702,0.095702,0.678024,0.067037,28
0.011776,0.995537,0.005555,0.104433,0.512068,0.07671,0.095738,0.677783,0.067007,29
0.011497,0.995746,0.005268,0.104451,0.511896,0.076699,0.095754,0.677677,0.066962,30
