rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
3.186702,-627.632052,0.275972,0.201832,-1.445647,0.170835,0.241283,-2.527,0.174639,1
0.212811,-1.803517,0.12619,0.108737,0.290149,0.084151,0.131491,-0.04747,0.085471,2
0.140758,-0.226472,0.091437,0.1004,0.394823,0.077569,0.121789,0.101393,0.077754,3
0.110106,0.249532,0.080902,0.09711,0.43383,0.075006,0.126934,0.023875,0.075794,4
0.104234,0.327444,0.073553,0.092105,0.490694,0.071862,0.092533,0.481263,0.070443,5
0.094083,0.452054,0.067062,0.098364,0.419113,0.077638,0.098099,0.416987,0.076693,6
0.07432,0.658083,0.058161,0.111905,0.248177,0.090767,0.111797,0.242803,0.090594,7
0.067302,0.719604,0.05274,0.116936,0.179055,0.095978,0.117199,0.16785,0.096419,8
0.062026,0.761847,0.048827,0.107823,0.302028,0.087072,0.108077,0.292354,0.087269,9
0.057745,0.793587,0.045478,0.102611,0.367878,0.082072,0.102947,0.35793,0.082123,10
0.053642,0.821876,0.042281,0.080034,0.615444,0.061031,0.080755,0.60491,0.061135,11
0.043856,0.880936,0.034636,0.079578,0.61981,0.060207,0.080083,0.611465,0.060186,12
0.038478,0.908349,0.030347,0.080539,0.610568,0.060737,0.080771,0.604756,0.060563,13
0.034531,0.926187,0.027145,0.081275,0.603419,0.061226,0.081348,0.599087,0.060929,14
0.03142,0.938889,0.024633,0.081348,0.602706,0.061148,0.081296,0.599602,0.060749,15
0.028887,0.948343,0.022594,0.081071,0.605407,0.060749,0.080983,0.60268,0.060263,16
0.026751,0.9557,0.02087,0.080542,0.61054,0.060129,0.080455,0.607846,0.059557,17
0.024954,0.961452,0.019401,0.079864,0.617068,0.0594,0.079798,0.614224,0.058766,18
0.023397,0.966112,0.018134,0.079266,0.622782,0.058764,0.079239,0.619614,0.058116,19
0.02205,0.969903,0.017039,0.078808,0.627129,0.058258,0.078814,0.623675,0.057672,20
0.023164,0.966785,0.018203,0.080323,0.612658,0.059514,0.080251,0.60983,0.058986,21
0.021554,0.971241,0.016894,0.080725,0.608768,0.05983,0.080682,0.60563,0.059395,22
0.020381,0.974287,0.015938,0.081096,0.605168,0.06013,0.081081,0.60172,0.059775,23
0.019407,0.976685,0.015137,0.081419,0.602018,0.060402,0.081423,0.598352,0.060107,24
0.018566,0.978663,0.014441,0.081776,0.598515,0.060724,0.081794,0.594679,0.060462,25
0.017818,0.980347,0.013822,0.08212,0.595133,0.061036,0.082145,0.591193,0.060808,26
0.017148,0.981796,0.013266,0.082353,0.59283,0.061249,0.082388,0.588776,0.061041,27
0.016539,0.983067,0.012755,0.082663,0.589762,0.06154,0.082702,0.585639,0.061357,28
0.015982,0.984189,0.012283,0.082882,0.587586,0.061745,0.082929,0.583359,0.06159,29
0.015467,0.985191,0.011845,0.083038,0.586033,0.061891,0.083098,0.581653,0.061766,30
