rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
3.431793,-721.821687,0.327801,0.261659,-3.088415,0.202213,0.270255,-3.868308,0.199645,1
0.222086,-2.027136,0.144977,0.135385,-0.094518,0.105899,0.137432,-0.258943,0.108013,2
0.114598,0.19398,0.086876,0.101336,0.386782,0.073932,0.116748,0.091486,0.075496,3
0.095864,0.435975,0.069689,0.10053,0.3965,0.079464,0.104721,0.269035,0.077999,4
0.08398,0.567143,0.060155,0.105331,0.337482,0.084362,0.10382,0.281551,0.081998,5
0.067204,0.722808,0.052389,0.097793,0.428916,0.077518,0.09718,0.370518,0.075979,6
0.061152,0.770483,0.047816,0.086968,0.548351,0.067089,0.086972,0.495819,0.06642,7
0.056584,0.803497,0.044322,0.085771,0.560701,0.065342,0.08622,0.504498,0.065166,8
0.052803,0.828879,0.0414,0.086321,0.555044,0.065398,0.086687,0.499118,0.065356,9
0.049951,0.846865,0.039139,0.085613,0.562313,0.064704,0.086056,0.50638,0.064852,10
0.051342,0.838216,0.040381,0.09852,0.420393,0.07888,0.097541,0.365833,0.077264,11
0.042908,0.887004,0.033919,0.096919,0.439074,0.077517,0.096123,0.384133,0.076084,12
0.038069,0.911055,0.03008,0.094998,0.461099,0.075755,0.094325,0.406965,0.074471,13
0.034466,0.927091,0.027178,0.092866,0.485014,0.073703,0.092242,0.432858,0.072464,14
0.031607,0.938685,0.024871,0.091095,0.50447,0.071935,0.090479,0.454333,0.070754,15
0.029237,0.947538,0.022972,0.089448,0.522221,0.070222,0.088828,0.474065,0.069134,16
0.027215,0.954541,0.021332,0.088052,0.537016,0.068733,0.087445,0.490318,0.067716,17
0.025468,0.96019,0.019904,0.086641,0.551736,0.067209,0.086047,0.506481,0.066252,18
0.023924,0.964872,0.018633,0.085335,0.565155,0.06577,0.084798,0.520703,0.064892,19
0.022557,0.968773,0.017502,0.084242,0.576219,0.064525,0.083758,0.532393,0.063725,20
0.023535,0.966004,0.018483,0.08024,0.61553,0.05986,0.080117,0.572162,0.059456,21
0.021877,0.970627,0.017149,0.080085,0.617014,0.05964,0.079992,0.573498,0.059265,22
0.020643,0.973846,0.016142,0.079974,0.618069,0.059465,0.079921,0.574257,0.059125,23
0.019626,0.976359,0.015308,0.079868,0.619082,0.059298,0.079874,0.574755,0.058999,24
0.01875,0.978423,0.014587,0.079775,0.61997,0.059142,0.079834,0.575178,0.058881,25
0.017975,0.980171,0.013948,0.079681,0.620865,0.058979,0.079793,0.575619,0.058756,26
0.017279,0.981675,0.013371,0.079604,0.621596,0.058835,0.079758,0.57599,0.058644,27
0.016642,0.983001,0.012841,0.079531,0.622287,0.058695,0.079733,0.576249,0.058549,28
0.016067,0.984156,0.012363,0.079472,0.622848,0.058571,0.079713,0.576467,0.058457,29
0.01553,0.985198,0.011918,0.079418,0.623365,0.058449,0.079694,0.576673,0.05837,30
