rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.20271,-0.363409,0.120749,0.144569,0.169468,0.115814,0.144429,0.26869,0.117353,1
0.116357,0.55078,0.090322,0.141112,0.20871,0.112,0.136405,0.347693,0.110965,2
0.101027,0.661346,0.078358,0.127864,0.350318,0.098943,0.119192,0.501929,0.092874,3
0.086753,0.750286,0.067053,0.122767,0.401084,0.09402,0.111009,0.567974,0.085432,4
0.076963,0.803465,0.058596,0.118611,0.440943,0.091252,0.105146,0.612402,0.081496,5
0.065397,0.858099,0.049518,0.11836,0.443308,0.092208,0.102168,0.634051,0.078482,6
0.055822,0.896608,0.041728,0.120521,0.422799,0.091991,0.103543,0.624129,0.079669,7
0.047755,0.924332,0.035603,0.119486,0.432666,0.089678,0.100102,0.648698,0.076338,8
0.043292,0.937813,0.032054,0.118263,0.444218,0.088417,0.099236,0.654754,0.075543,9
0.038786,0.950085,0.028694,0.115635,0.468642,0.086427,0.098649,0.658824,0.073328,10
0.037777,0.952648,0.02901,0.114051,0.483107,0.087036,0.100353,0.646931,0.073649,11
0.029941,0.970256,0.022292,0.114078,0.482855,0.086703,0.099114,0.655602,0.072139,12
0.025518,0.978394,0.018124,0.114188,0.481862,0.086609,0.09793,0.663776,0.070988,13
0.022642,0.982989,0.015338,0.114383,0.480089,0.086618,0.096936,0.670571,0.06997,14
0.020659,0.985839,0.013339,0.114483,0.479177,0.08664,0.096189,0.675629,0.069092,15
0.019186,0.987786,0.011781,0.114583,0.478274,0.086665,0.095658,0.679201,0.068361,16
0.018066,0.98917,0.010611,0.114652,0.477645,0.086688,0.095134,0.682704,0.067784,17
0.017165,0.990224,0.009675,0.114613,0.477993,0.08667,0.094702,0.685579,0.067306,18
0.016399,0.991077,0.008832,0.114659,0.477582,0.086779,0.094401,0.687577,0.066919,19
0.015783,0.991735,0.008205,0.114653,0.477631,0.086884,0.09416,0.689169,0.066594,20
0.015825,0.991691,0.009451,0.114312,0.480737,0.086767,0.093345,0.694522,0.065649,21
0.014848,0.992685,0.008583,0.114141,0.482289,0.086588,0.093263,0.695063,0.065579,22
0.014151,0.993355,0.007835,0.11406,0.483022,0.086488,0.093222,0.69533,0.065538,23
0.013613,0.993851,0.007247,0.113992,0.483639,0.086395,0.093209,0.695414,0.065525,24
0.013152,0.99426,0.006739,0.113924,0.484257,0.086308,0.093212,0.695394,0.065524,25
0.012751,0.994605,0.006304,0.113868,0.484765,0.086238,0.093222,0.69533,0.065542,26
0.012417,0.994884,0.005929,0.113814,0.485248,0.086173,0.093248,0.695157,0.065578,27
0.012107,0.995137,0.005584,0.113779,0.48557,0.086118,0.093265,0.695048,0.065624,28
0.011839,0.99535,0.005287,0.113731,0.485999,0.086073,0.093282,0.694936,0.065662,29
0.011588,0.995545,0.005023,0.113698,0.486295,0.086054,0.093302,0.694804,0.065709,30
