rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.653138,-25.407296,0.103019,0.10901,0.286581,0.073374,0.092714,0.479229,0.072555,1
0.091423,0.482607,0.066165,0.072154,0.687438,0.055501,0.07189,0.686894,0.055318,2
0.069661,0.699603,0.051483,0.068961,0.714493,0.052445,0.069408,0.708142,0.053149,3
0.057205,0.797427,0.041859,0.069961,0.706149,0.053423,0.070434,0.699446,0.054133,4
0.047371,0.86109,0.034725,0.069331,0.71142,0.05266,0.069763,0.705147,0.053527,5
0.037977,0.910719,0.028271,0.067357,0.727615,0.050187,0.067425,0.724581,0.050988,6
0.031619,0.938113,0.023266,0.06322,0.760048,0.046392,0.064066,0.751337,0.046947,7
0.027184,0.954256,0.019626,0.062194,0.767771,0.045264,0.063171,0.758235,0.045678,8
0.02268,0.968158,0.01637,0.060334,0.781455,0.043377,0.06157,0.770338,0.043787,9
0.01893,0.977816,0.013658,0.059754,0.785636,0.042674,0.060998,0.774582,0.042767,10
0.016547,0.983051,0.012321,0.059708,0.785968,0.042155,0.06063,0.777299,0.04225,11
0.013199,0.989216,0.009868,0.059628,0.786538,0.041868,0.060497,0.778269,0.041965,12
0.011469,0.991857,0.008443,0.059524,0.787287,0.041621,0.060384,0.779102,0.041732,13
0.01024,0.99351,0.007388,0.059411,0.788091,0.041378,0.060276,0.779892,0.041494,14
0.009294,0.994653,0.006556,0.059309,0.78882,0.041156,0.060173,0.780643,0.041286,15
0.008548,0.995477,0.005883,0.05919,0.789668,0.040938,0.060048,0.781553,0.041076,16
0.007942,0.996095,0.005325,0.059082,0.790431,0.040741,0.05995,0.782262,0.040903,17
0.007452,0.996563,0.004863,0.058996,0.791042,0.040582,0.059856,0.782944,0.040752,18
0.007035,0.996936,0.004467,0.058919,0.791584,0.04045,0.059789,0.783432,0.040625,19
0.006686,0.997232,0.004134,0.058849,0.79208,0.040338,0.05972,0.783929,0.040504,20
0.006594,0.997309,0.004358,0.058692,0.793188,0.040112,0.059624,0.784627,0.040323,21
0.006249,0.997583,0.004052,0.058636,0.793586,0.040036,0.059565,0.785049,0.040232,22
0.006007,0.997766,0.003816,0.058601,0.793832,0.039987,0.059531,0.785294,0.040168,23
0.005808,0.997912,0.003614,0.058574,0.794022,0.039953,0.059502,0.785507,0.040117,24
0.005638,0.998032,0.003439,0.058556,0.794149,0.039929,0.059483,0.785641,0.040082,25
0.005489,0.998135,0.003284,0.058541,0.79425,0.039911,0.059466,0.785762,0.040055,26
0.005356,0.998224,0.003143,0.05853,0.794332,0.039898,0.059454,0.78585,0.040033,27
0.005237,0.998302,0.003016,0.058521,0.794391,0.039888,0.059446,0.785913,0.040017,28
0.005129,0.998371,0.002899,0.058516,0.79443,0.039882,0.059439,0.785959,0.040001,29
0.005031,0.998433,0.002792,0.05851,0.794473,0.039875,0.059433,0.786,0.039991,30
