rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.162013,0.129087,0.126121,0.13877,0.234766,0.103889,0.148242,0.229562,0.112783,1
0.128937,0.448388,0.10122,0.132144,0.306098,0.098851,0.134902,0.361984,0.102053,2
0.117285,0.54358,0.091261,0.129855,0.329924,0.096716,0.133447,0.375677,0.099879,3
0.107806,0.614378,0.08272,0.132029,0.307302,0.099248,0.134072,0.369812,0.101272,4
0.099281,0.672957,0.07584,0.128728,0.34151,0.096442,0.132206,0.387235,0.098857,5
0.090675,0.727194,0.06841,0.125535,0.373765,0.0946,0.128941,0.41712,0.096307,6
0.082305,0.775235,0.061701,0.126748,0.361608,0.096183,0.127491,0.430162,0.095398,7
0.077083,0.802851,0.057715,0.126284,0.36627,0.096216,0.127308,0.431796,0.095588,8
0.070436,0.835385,0.052709,0.125882,0.370301,0.096132,0.12445,0.457015,0.092884,9
0.064722,0.861012,0.048669,0.130394,0.324354,0.098826,0.124004,0.460902,0.093877,10
0.060044,0.880378,0.045105,0.119322,0.434221,0.090495,0.116428,0.524765,0.087765,11
0.051807,0.910947,0.038246,0.118131,0.445457,0.089929,0.116905,0.520863,0.087327,12
0.046795,0.927344,0.033749,0.118018,0.44652,0.089797,0.116909,0.520829,0.087127,13
0.042769,0.939307,0.030189,0.118099,0.445757,0.089661,0.116702,0.522525,0.086522,14
0.039423,0.948431,0.027182,0.118451,0.44245,0.0898,0.116761,0.52204,0.085821,15
0.036586,0.955587,0.024631,0.119246,0.434942,0.09015,0.116683,0.522682,0.085121,16
0.034079,0.961465,0.022407,0.119709,0.430543,0.090388,0.116297,0.525833,0.084225,17
0.03182,0.966405,0.020617,0.120522,0.422785,0.090976,0.11637,0.525234,0.084101,18
0.029814,0.970508,0.019073,0.121091,0.417322,0.091573,0.115559,0.531833,0.083436,19
0.028024,0.973942,0.017777,0.121478,0.413592,0.091711,0.11523,0.534492,0.082804,20
0.029347,0.971423,0.020535,0.121756,0.410905,0.091741,0.113197,0.550778,0.080835,21
0.027009,0.975795,0.018263,0.122404,0.404621,0.092185,0.11309,0.55162,0.080642,22
0.025274,0.978805,0.016537,0.122768,0.401072,0.092221,0.112754,0.554281,0.080257,23
0.023949,0.980969,0.015213,0.123109,0.397743,0.092377,0.112635,0.555223,0.080219,24
0.022786,0.982773,0.014112,0.12344,0.394495,0.092393,0.112594,0.55555,0.08028,25
0.021824,0.984197,0.013204,0.123503,0.393874,0.092304,0.11256,0.555815,0.080445,26
0.02105,0.985297,0.012459,0.123708,0.39186,0.092243,0.112596,0.555532,0.0806,27
0.020458,0.986113,0.011824,0.123736,0.391593,0.092119,0.112558,0.555831,0.080722,28
0.019909,0.986849,0.011233,0.123846,0.390507,0.092094,0.112713,0.554607,0.080911,29
0.019338,0.987592,0.010671,0.123847,0.390493,0.092086,0.113017,0.552203,0.081054,30
