rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
4.015073,-990.484469,0.360316,0.154898,-0.450583,0.113197,0.148351,-0.388916,0.111713,1
0.190458,-1.230979,0.124253,0.124529,0.062447,0.096845,0.122503,0.052921,0.096989,2
0.116813,0.160775,0.086306,0.105044,0.332893,0.081115,0.103757,0.32059,0.081061,3
0.093531,0.46197,0.071654,0.099428,0.402316,0.076873,0.098858,0.383233,0.077258,4
0.082241,0.584015,0.06357,0.108114,0.293334,0.085119,0.108349,0.259132,0.085838,5
0.075097,0.653146,0.05828,0.116952,0.17307,0.093535,0.117556,0.127858,0.094491,6
0.069452,0.70333,0.054222,0.121467,0.107997,0.097961,0.122264,0.056617,0.099041,7
0.065364,0.73723,0.051159,0.126282,0.035874,0.102926,0.127392,-0.02418,0.10401,8
0.062013,0.763482,0.048591,0.124408,0.064277,0.101363,0.12582,0.000943,0.102514,9
0.059077,0.785349,0.046369,0.128958,-0.005417,0.106035,0.130516,-0.075032,0.106968,10
0.060671,0.773607,0.047992,0.097477,0.425544,0.075389,0.09872,0.384962,0.077196,11
0.05059,0.842594,0.04,0.09357,0.470677,0.071621,0.094866,0.43204,0.073405,12
0.044971,0.875619,0.035468,0.091161,0.497577,0.069238,0.092538,0.459575,0.070852,13
0.040864,0.897299,0.032132,0.089663,0.513957,0.067735,0.091167,0.475476,0.069194,14
0.037633,0.912898,0.029507,0.088829,0.522953,0.066763,0.090453,0.483656,0.068152,15
0.034937,0.924928,0.027315,0.088325,0.528355,0.066123,0.090037,0.488398,0.067476,16
0.032651,0.934431,0.025451,0.088039,0.531396,0.065712,0.089818,0.490884,0.067016,17
0.030686,0.942087,0.023862,0.087877,0.533128,0.065438,0.089687,0.492367,0.066687,18
0.028964,0.948405,0.022482,0.087783,0.534119,0.065223,0.089667,0.492595,0.066427,19
0.027461,0.953618,0.021273,0.087758,0.534383,0.065071,0.089672,0.49253,0.066241,20
0.028583,0.949754,0.022485,0.087854,0.533369,0.064926,0.089597,0.493385,0.065962,21
0.026817,0.955771,0.021047,0.08765,0.535528,0.064712,0.089402,0.495589,0.065753,22
0.025502,0.960001,0.019963,0.087524,0.536864,0.064562,0.089265,0.497134,0.065584,23
0.024405,0.963367,0.019057,0.087431,0.537852,0.064445,0.089178,0.498112,0.065451,24
0.023452,0.966174,0.018272,0.087384,0.538352,0.064363,0.089122,0.498735,0.065336,25
0.022607,0.968568,0.017582,0.087346,0.538744,0.064287,0.089078,0.499239,0.065226,26
0.021844,0.970653,0.016954,0.087322,0.539006,0.064225,0.089052,0.49953,0.065139,27
0.021147,0.972497,0.016381,0.08731,0.539127,0.064171,0.089034,0.499726,0.065059,28
0.020501,0.97415,0.01585,0.087314,0.539083,0.064133,0.089053,0.499515,0.065008,29
0.019901,0.975642,0.015353,0.087312,0.539103,0.06409,0.089056,0.49948,0.064954,30
