rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.140962,0.3407,0.108505,0.113164,0.491109,0.086447,0.119721,0.497498,0.089081,1
0.119327,0.527554,0.091717,0.112287,0.498973,0.08533,0.114771,0.538195,0.085693,2
0.112826,0.577628,0.086371,0.11291,0.493395,0.0857,0.113395,0.549202,0.084352,3
0.108154,0.611881,0.082841,0.113083,0.491842,0.085697,0.111087,0.567365,0.082891,4
0.105035,0.633949,0.080608,0.113706,0.486228,0.085891,0.110175,0.574437,0.081717,5
0.102408,0.652027,0.07848,0.113973,0.48381,0.085852,0.110226,0.574044,0.081105,6
0.119582,0.525533,0.088692,0.11363,0.486912,0.086162,0.113105,0.551502,0.083976,7
0.102951,0.648327,0.078701,0.111462,0.506302,0.084155,0.110102,0.575004,0.081181,8
0.100272,0.666394,0.076726,0.111621,0.504893,0.08463,0.11048,0.572082,0.081807,9
0.09719,0.686586,0.074549,0.111283,0.507887,0.08429,0.109508,0.579576,0.081269,10
0.091768,0.720579,0.069866,0.111168,0.508905,0.084542,0.109616,0.578747,0.081859,11
0.089891,0.731893,0.068434,0.110979,0.510575,0.084512,0.109078,0.582874,0.08189,12
0.088215,0.741795,0.067145,0.11082,0.511973,0.084206,0.108771,0.585218,0.081787,13
0.086508,0.75169,0.065893,0.11063,0.513647,0.084081,0.108229,0.589343,0.081665,14
0.084594,0.762561,0.0645,0.110387,0.515784,0.08363,0.108473,0.587484,0.081904,15
0.082424,0.774586,0.062922,0.110169,0.517689,0.083505,0.108232,0.589318,0.081934,16
0.080173,0.78673,0.061228,0.109855,0.520439,0.083194,0.108807,0.584946,0.082518,17
0.077811,0.799112,0.059427,0.109106,0.526954,0.082475,0.108474,0.587478,0.081972,18
0.075193,0.812402,0.057532,0.109698,0.521811,0.083139,0.109609,0.578801,0.082723,19
0.072287,0.826619,0.055363,0.109043,0.527497,0.082189,0.110182,0.574386,0.083304,20
0.067883,0.847102,0.051641,0.108275,0.534137,0.081536,0.111108,0.567201,0.084206,21
0.065018,0.859738,0.049376,0.107523,0.540585,0.080809,0.110476,0.572113,0.083649,22
0.062601,0.869973,0.047465,0.107153,0.543736,0.080449,0.110197,0.574272,0.083351,23
0.060267,0.879485,0.045584,0.106873,0.546123,0.080207,0.109903,0.576538,0.08304,24
