rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.150907,0.26836,0.113771,0.110656,0.491711,0.08493,0.106883,0.559227,0.084091,1
0.106807,0.633497,0.083205,0.097938,0.601831,0.072258,0.090927,0.681005,0.069561,2
0.089228,0.744208,0.068026,0.099284,0.590812,0.072552,0.088772,0.695945,0.068675,3
0.073971,0.824206,0.056224,0.099964,0.585192,0.073882,0.088676,0.6966,0.067685,4
0.06182,0.877216,0.046777,0.10106,0.576045,0.075,0.087136,0.707046,0.067298,5
0.054556,0.904377,0.040798,0.103266,0.557338,0.076874,0.086423,0.711823,0.067051,6
0.049552,0.921112,0.036917,0.109103,0.505877,0.081713,0.088379,0.698634,0.068078,7
0.04435,0.936806,0.033217,0.107933,0.516415,0.080698,0.088661,0.696702,0.068316,8
0.040379,0.947617,0.030142,0.102936,0.560161,0.077121,0.086165,0.713542,0.064937,9
0.037396,0.955072,0.027788,0.103034,0.559323,0.079122,0.087938,0.701633,0.065721,10
0.035557,0.959382,0.027267,0.103725,0.553391,0.079166,0.090797,0.681917,0.067878,11
0.028445,0.974005,0.021255,0.103528,0.555085,0.078671,0.089797,0.688882,0.066677,12
0.024765,0.980295,0.017693,0.103076,0.558964,0.077908,0.088774,0.695932,0.065612,13
0.022293,0.984033,0.015347,0.102501,0.563864,0.077116,0.087914,0.701794,0.064681,14
0.020517,0.986476,0.013633,0.102014,0.568001,0.076433,0.087197,0.70664,0.063912,15
0.019105,0.988273,0.012237,0.101588,0.571601,0.075761,0.086744,0.709679,0.063391,16
0.017904,0.989701,0.011017,0.101296,0.574062,0.075238,0.086413,0.71189,0.062987,17
0.016933,0.990788,0.010038,0.101055,0.576086,0.074818,0.086234,0.71308,0.062818,18
0.016082,0.99169,0.009134,0.100945,0.577012,0.074607,0.086107,0.713925,0.062679,19
0.015398,0.992382,0.008452,0.100883,0.577524,0.074506,0.086111,0.713901,0.062634,20
0.015626,0.992156,0.009722,0.101034,0.576266,0.074383,0.085299,0.719268,0.06233,21
0.01457,0.99318,0.00877,0.100948,0.57698,0.07426,0.085217,0.719808,0.062191,22
0.01382,0.993864,0.008064,0.100873,0.577611,0.07416,0.085186,0.720015,0.062093,23
0.013198,0.994404,0.007458,0.1008,0.578224,0.07406,0.085168,0.720134,0.06202,24
0.012688,0.994828,0.006956,0.100749,0.578649,0.073985,0.085161,0.720176,0.061954,25
0.012241,0.995186,0.006489,0.100705,0.579021,0.073944,0.085163,0.720162,0.061901,26
0.011882,0.995464,0.006106,0.100656,0.579427,0.073907,0.085147,0.720269,0.061833,27
0.011546,0.995717,0.005733,0.10062,0.579727,0.07387,0.085148,0.720266,0.061784,28
0.011246,0.995937,0.005395,0.100589,0.579987,0.073835,0.08517,0.72012,0.06176,29
0.010994,0.996117,0.005102,0.100555,0.580271,0.073809,0.0852,0.71992,0.061737,30
