rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.140039,0.358324,0.107689,0.123798,0.326639,0.092981,0.125244,0.49604,0.096365,1
0.838435,-22.001655,0.147813,0.193365,-0.642773,0.140074,0.192584,-0.191583,0.138884,2
0.133555,0.416363,0.097808,0.113479,0.434207,0.085521,0.117203,0.558674,0.091765,3
0.111823,0.590849,0.08411,0.114238,0.426613,0.085296,0.116499,0.563962,0.091153,4
0.109332,0.608873,0.082147,0.115076,0.418172,0.08588,0.116373,0.564898,0.090967,5
0.107865,0.619301,0.081022,0.115921,0.409602,0.086534,0.116503,0.56393,0.090974,6
0.106923,0.625923,0.080258,0.11656,0.403073,0.08689,0.116577,0.563373,0.090885,7
0.106174,0.631141,0.079643,0.117022,0.398334,0.087226,0.116551,0.563567,0.090829,8
0.105617,0.635007,0.0792,0.117499,0.393414,0.087598,0.116617,0.563077,0.09082,9
0.105205,0.637847,0.078876,0.117813,0.390174,0.087885,0.116714,0.562346,0.090852,10
0.102501,0.656223,0.076808,0.120348,0.363644,0.09027,0.118683,0.547459,0.092168,11
0.102308,0.657518,0.07662,0.1203,0.364147,0.090182,0.118522,0.548684,0.091989,12
0.102168,0.658452,0.076506,0.120279,0.364369,0.09012,0.118368,0.549855,0.091817,13
0.102044,0.659285,0.076403,0.120251,0.364671,0.090057,0.118242,0.550813,0.091679,14
0.101925,0.660078,0.07631,0.12025,0.364674,0.090025,0.118135,0.551623,0.091542,15
