rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
3.335447,-683.237846,0.230415,0.126837,0.027383,0.103272,0.127878,-0.032016,0.102598,1
0.129506,-0.031523,0.090443,0.092722,0.480227,0.072462,0.093315,0.450458,0.072127,2
0.093857,0.458212,0.071282,0.080788,0.605414,0.062056,0.080844,0.587535,0.062405,3
0.07989,0.607456,0.062319,0.079661,0.616347,0.061844,0.080199,0.59409,0.062081,4
0.073527,0.667498,0.057411,0.081217,0.601207,0.063418,0.082216,0.573414,0.063963,5
0.068681,0.709881,0.053585,0.082117,0.592321,0.064196,0.083319,0.561886,0.065027,6
0.06441,0.744846,0.050345,0.080058,0.612509,0.062242,0.080974,0.586203,0.062887,7
0.060665,0.773652,0.047535,0.076692,0.644404,0.059255,0.07762,0.619778,0.059962,8
0.057366,0.797603,0.04497,0.07572,0.653367,0.058282,0.076615,0.62956,0.05921,9
0.054608,0.816594,0.042816,0.07798,0.632362,0.06031,0.078488,0.611225,0.060853,10
0.053859,0.82159,0.042454,0.087421,0.537956,0.069316,0.08713,0.520896,0.06881,11
0.048601,0.854723,0.038223,0.088455,0.526962,0.070346,0.088042,0.510816,0.069756,12
0.04487,0.876174,0.035241,0.087565,0.536433,0.069574,0.087136,0.520828,0.068925,13
0.041815,0.892462,0.032788,0.085417,0.558894,0.067564,0.085059,0.5434,0.066971,14
0.039162,0.905674,0.030653,0.083561,0.577859,0.065776,0.083296,0.562136,0.065194,15
0.036824,0.916602,0.028778,0.082337,0.590134,0.064534,0.082037,0.575269,0.063918,16
0.034655,0.926135,0.027067,0.080266,0.610491,0.062478,0.079953,0.596578,0.061799,17
0.032729,0.934119,0.025533,0.078564,0.626841,0.060777,0.078245,0.613629,0.06012,18
0.030915,0.941219,0.024083,0.076619,0.645088,0.058811,0.07613,0.634228,0.058142,19
0.02925,0.947379,0.022747,0.07513,0.658744,0.057198,0.074773,0.647154,0.056752,20
0.029408,0.94681,0.023078,0.075311,0.657096,0.056577,0.074843,0.646491,0.056789,21
0.027325,0.954078,0.021378,0.075422,0.656084,0.056632,0.074989,0.645112,0.056857,22
0.025901,0.958739,0.020216,0.075465,0.655698,0.056621,0.074999,0.64502,0.056827,23
0.024724,0.962403,0.019255,0.075506,0.655318,0.056616,0.075043,0.644599,0.056804,24
0.023698,0.965459,0.018423,0.075631,0.654183,0.056676,0.075166,0.643438,0.056866,25
0.022764,0.968128,0.017662,0.075784,0.652781,0.056756,0.075323,0.641945,0.056949,26
0.021927,0.970429,0.016979,0.076045,0.650383,0.056962,0.075569,0.639605,0.057121,27
0.021138,0.972518,0.016334,0.076137,0.649537,0.057002,0.075653,0.638805,0.057142,28
0.020417,0.974362,0.01575,0.076466,0.646501,0.05727,0.076025,0.635236,0.057426,29
0.019744,0.976024,0.015199,0.076534,0.64587,0.057304,0.076073,0.634778,0.05744,30
