rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.640497,-12.916458,0.158902,0.117999,0.470476,0.089539,0.114498,0.565574,0.087093,1
0.119357,0.516726,0.091968,0.118386,0.46699,0.089264,0.111722,0.586383,0.085264,2
0.101686,0.649232,0.077091,0.117345,0.476325,0.088773,0.111689,0.586629,0.085341,3
0.087904,0.737875,0.065999,0.115701,0.4909,0.088031,0.109891,0.599833,0.083908,4
0.078475,0.791092,0.058264,0.11645,0.484283,0.088814,0.110378,0.59628,0.084302,5
0.070265,0.832515,0.051968,0.117978,0.470664,0.089897,0.111161,0.590532,0.085006,6
0.063334,0.86393,0.046423,0.120251,0.450066,0.092187,0.112216,0.582723,0.086137,7
0.057369,0.888352,0.041685,0.12256,0.428744,0.094467,0.113293,0.57467,0.086777,8
0.052753,0.905596,0.037955,0.124136,0.413959,0.095669,0.113976,0.56953,0.087893,9
0.049,0.91855,0.034694,0.125014,0.405641,0.095993,0.111796,0.585836,0.085617,10
0.043481,0.935867,0.03155,0.11764,0.473693,0.087957,0.104622,0.637288,0.078827,11
0.037922,0.951215,0.027052,0.115383,0.493695,0.085832,0.10164,0.657671,0.075985,12
0.034655,0.959259,0.024234,0.113889,0.506717,0.084476,0.099528,0.67175,0.073821,13
0.031977,0.965312,0.021923,0.11301,0.514307,0.083639,0.098219,0.680326,0.072425,14
0.02965,0.970178,0.019952,0.112527,0.518447,0.083161,0.097207,0.686879,0.071351,15
0.027692,0.973985,0.018242,0.112384,0.519673,0.082974,0.096664,0.69037,0.070835,16
0.025873,0.977291,0.016598,0.112663,0.517281,0.083248,0.096448,0.691746,0.070265,17
0.024359,0.979872,0.015185,0.112836,0.515797,0.083266,0.096444,0.691776,0.070056,18
0.022954,0.982126,0.01386,0.113182,0.512823,0.083569,0.096488,0.691491,0.069642,19
0.021763,0.983932,0.012831,0.113462,0.510411,0.083716,0.096593,0.690824,0.069614,20
0.020934,0.985134,0.01368,0.114184,0.504159,0.084045,0.097207,0.686878,0.069553,21
0.019544,0.987042,0.012403,0.114251,0.503577,0.08397,0.097224,0.686767,0.069457,22
0.018461,0.988439,0.011303,0.114308,0.503081,0.083914,0.097353,0.685939,0.069533,23
0.017576,0.989521,0.010385,0.114335,0.502846,0.083847,0.097358,0.685906,0.069546,24
0.016819,0.990404,0.00961,0.114277,0.50335,0.083713,0.097357,0.685908,0.069609,25
0.01617,0.99113,0.008936,0.114168,0.504301,0.083578,0.097395,0.685668,0.069679,26
0.015602,0.991742,0.008363,0.114087,0.505001,0.083451,0.097354,0.685928,0.06969,27
