rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.650348,-12.609873,0.150767,0.120971,0.345293,0.090799,0.123261,0.465887,0.09187,1
0.142436,0.347166,0.105328,0.112427,0.434507,0.08272,0.248799,-1.176086,0.101819,2
0.182213,-0.068374,0.111934,0.117805,0.37911,0.08677,0.122804,0.469845,0.090531,3
0.124642,0.500094,0.090335,0.11384,0.4202,0.083989,0.121047,0.484905,0.089654,4
0.095777,0.704819,0.073675,0.110593,0.452809,0.081903,0.116921,0.519424,0.086466,5
0.085536,0.764569,0.065677,0.110812,0.450636,0.082911,0.115268,0.532912,0.085375,6
0.077513,0.806663,0.059054,0.112054,0.438256,0.084674,0.114869,0.536141,0.085209,7
0.069681,0.843763,0.052561,0.112587,0.4329,0.085163,0.113558,0.546669,0.084234,8
0.062098,0.875915,0.04617,0.111178,0.446997,0.08411,0.111539,0.562644,0.08189,9
0.05469,0.903755,0.039878,0.11014,0.457281,0.083097,0.108843,0.583532,0.079371,10
0.048692,0.923708,0.036391,0.106881,0.488919,0.079962,0.106795,0.599056,0.077543,11
0.042696,0.94134,0.031303,0.107101,0.486812,0.080258,0.106712,0.599685,0.077675,12
0.038431,0.952474,0.027666,0.107615,0.481875,0.080557,0.106979,0.597678,0.077868,13
0.034669,0.961324,0.024451,0.108349,0.474783,0.081285,0.107404,0.594471,0.078103,14
0.031386,0.968302,0.021637,0.109177,0.466727,0.082413,0.107842,0.591162,0.078394,15
0.028496,0.973871,0.019117,0.109821,0.460422,0.083275,0.108125,0.589007,0.078783,16
0.026052,0.978161,0.016984,0.110285,0.455851,0.083849,0.108066,0.589462,0.079009,17
0.023956,0.981533,0.015205,0.110709,0.451656,0.084291,0.107819,0.591334,0.079016,18
0.022265,0.984049,0.013766,0.110801,0.450748,0.084405,0.107422,0.594341,0.078871,19
0.02069,0.986225,0.012473,0.110774,0.451014,0.084306,0.106768,0.599263,0.078172,20
0.019531,0.987725,0.012715,0.109761,0.461003,0.083338,0.103958,0.620076,0.075248,21
0.018084,0.989476,0.01135,0.109646,0.462138,0.083211,0.103546,0.623086,0.07454,22
0.017184,0.990499,0.010412,0.109604,0.462552,0.083142,0.103203,0.625579,0.074048,23
0.016495,0.991245,0.0097,0.109617,0.462424,0.083125,0.103005,0.627011,0.073775,24
0.015918,0.991847,0.009088,0.109664,0.461959,0.083173,0.102761,0.628776,0.073448,25
0.015419,0.99235,0.008555,0.109717,0.461437,0.083226,0.102633,0.629702,0.073291,26
0.014965,0.992794,0.008091,0.109785,0.460774,0.083276,0.102495,0.630696,0.073072,27
0.014582,0.993158,0.007673,0.109848,0.460155,0.083331,0.102397,0.631402,0.072994,28
0.014229,0.993485,0.007304,0.10991,0.459546,0.083392,0.102267,0.632337,0.072766,29
0.013915,0.99377,0.006959,0.109986,0.458798,0.083403,0.102157,0.633125,0.072698,30
