rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.439429,-5.213551,0.133786,0.123205,0.320889,0.094247,0.12436,0.45632,0.092662,1
0.117488,0.555826,0.09137,0.120212,0.353482,0.091317,0.118713,0.504575,0.089663,2
0.100281,0.676409,0.077515,0.114842,0.409955,0.085731,0.129986,0.406024,0.088045,3
0.089205,0.74394,0.067605,0.11359,0.422743,0.084303,0.113109,0.550251,0.082241,4
0.081167,0.788006,0.059977,0.114356,0.41493,0.084962,0.122841,0.469521,0.083998,5
0.070402,0.840512,0.052546,0.113126,0.427449,0.084379,0.112245,0.55709,0.082826,6
0.064159,0.867543,0.045416,0.112733,0.43142,0.0857,0.126797,0.434806,0.087155,7
0.059312,0.886801,0.042281,0.113081,0.427906,0.0865,0.124578,0.454416,0.09052,8
0.063542,0.870076,0.040253,0.114396,0.414528,0.087702,0.149855,0.210559,0.096785,9
0.069336,0.845302,0.043826,0.116141,0.396522,0.088692,0.118369,0.507445,0.090726,10
0.05092,0.916567,0.037764,0.109971,0.458939,0.081687,0.138895,0.321813,0.085073,11
0.050285,0.918636,0.031761,0.109728,0.461327,0.081216,0.110725,0.569007,0.07992,12
0.046195,0.931332,0.028142,0.110009,0.458567,0.081193,0.106365,0.60228,0.078243,13
0.035357,0.959774,0.024992,0.109818,0.460448,0.081062,0.106665,0.600037,0.07752,14
0.032223,0.966588,0.022011,0.10982,0.46043,0.081274,0.103369,0.62437,0.076229,15
0.029759,0.971503,0.019844,0.109989,0.458767,0.081741,0.103905,0.620466,0.07604,16
0.027703,0.975304,0.018079,0.110131,0.457365,0.082253,0.102501,0.630654,0.075346,17
0.025847,0.978503,0.016505,0.110181,0.456875,0.082705,0.102466,0.630903,0.075057,18
0.024209,0.98114,0.015068,0.110352,0.455186,0.083149,0.102013,0.634165,0.074745,19
0.022717,0.983394,0.01373,0.11039,0.454811,0.083489,0.102181,0.632956,0.07468,20
0.022442,0.983794,0.014645,0.110441,0.454306,0.083807,0.101813,0.635598,0.074483,21
0.020567,0.986388,0.01304,0.110454,0.454184,0.083757,0.101847,0.635349,0.074438,22
0.019351,0.98795,0.011857,0.110533,0.453394,0.08382,0.101941,0.634677,0.074423,23
0.018394,0.989113,0.010874,0.11061,0.452641,0.0839,0.102069,0.633758,0.074414,24
0.017593,0.990041,0.010056,0.110703,0.451712,0.083961,0.102177,0.632983,0.074372,25
0.016918,0.99079,0.009337,0.110792,0.450838,0.084024,0.102307,0.632049,0.074361,26
0.016311,0.991439,0.008724,0.110892,0.449844,0.084095,0.102422,0.631224,0.074365,27
0.015792,0.991975,0.00818,0.110976,0.449013,0.084127,0.102518,0.63053,0.07433,28
0.015298,0.99247,0.007695,0.111067,0.448102,0.08419,0.102604,0.62991,0.074286,29
0.014855,0.992899,0.00726,0.111121,0.447572,0.084204,0.102678,0.629378,0.074205,30
