rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.070536,0.693171,0.052673,0.059813,0.781647,0.045425,0.060344,0.781017,0.046172,1
0.052758,0.828352,0.040512,0.058049,0.794339,0.044395,0.057623,0.800318,0.044563,2
0.043027,0.885829,0.033132,0.056676,0.803948,0.043237,0.056277,0.809538,0.043378,3
0.034196,0.927887,0.02607,0.056673,0.80397,0.0433,0.056476,0.808194,0.043623,4
0.027886,0.952044,0.02106,0.051986,0.835058,0.038723,0.052275,0.835666,0.038937,5
0.023765,0.96517,0.01785,0.051691,0.836921,0.038244,0.051183,0.842462,0.038183,6
0.021234,0.972195,0.015779,0.051387,0.838834,0.037867,0.051605,0.839848,0.038048,7
0.018619,0.978622,0.013863,0.050229,0.846017,0.036304,0.049775,0.851011,0.036191,8
0.016167,0.983881,0.012122,0.052937,0.828968,0.039081,0.052818,0.832232,0.038543,9
0.014193,0.987577,0.010551,0.051444,0.838478,0.037243,0.051159,0.842609,0.037053,10
0.013037,0.989518,0.009828,0.047143,0.864358,0.032665,0.04706,0.866817,0.032763,11
0.009858,0.994006,0.007242,0.047108,0.864559,0.032469,0.047014,0.86708,0.032691,12
0.008298,0.995754,0.005858,0.046979,0.8653,0.032163,0.046879,0.867842,0.032448,13
0.007259,0.996751,0.004918,0.04684,0.866094,0.03183,0.046739,0.868631,0.032131,14
0.006529,0.997371,0.004244,0.046751,0.866601,0.031555,0.046645,0.869156,0.031848,15
0.005983,0.997793,0.003724,0.046767,0.86651,0.031424,0.046666,0.86904,0.031683,16
0.005565,0.99809,0.003323,0.046848,0.866046,0.031411,0.046746,0.868588,0.031633,17
0.005246,0.998303,0.003027,0.047,0.865175,0.031527,0.046918,0.867618,0.03174,18
0.005007,0.998454,0.002815,0.047141,0.864369,0.031686,0.047072,0.866751,0.031857,19
0.004811,0.998572,0.002639,0.04722,0.863913,0.031792,0.047143,0.86635,0.031914,20
0.004979,0.998471,0.003119,0.047224,0.863891,0.031767,0.047183,0.866124,0.031843,21
0.004693,0.998642,0.002866,0.047099,0.864608,0.03157,0.047057,0.866837,0.031636,22
0.004488,0.998758,0.002663,0.047011,0.865116,0.031409,0.046966,0.867348,0.031488,23
0.004308,0.998855,0.002483,0.046924,0.86561,0.031258,0.046887,0.867794,0.031351,24
0.004176,0.998925,0.002352,0.04683,0.866151,0.031106,0.04679,0.868345,0.031201,25
