rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.069268,0.705524,0.052411,0.059343,0.789706,0.045056,0.058142,0.774673,0.044159,1
0.052417,0.831369,0.040492,0.055746,0.814426,0.0417,0.054317,0.803348,0.040879,2
0.042829,0.887417,0.032967,0.05494,0.819758,0.040601,0.053406,0.809886,0.039943,3
0.034489,0.926996,0.026464,0.053846,0.826862,0.039633,0.052163,0.818636,0.039202,4
0.030041,0.944611,0.022527,0.053216,0.830893,0.038876,0.051737,0.821586,0.038664,5
0.033723,0.930203,0.022655,0.054692,0.821381,0.040328,0.053223,0.811185,0.040077,6
0.050929,0.840806,0.024019,0.05231,0.836598,0.037648,0.050256,0.831651,0.037357,7
0.250874,-2.862793,0.047424,0.056117,0.811951,0.04111,0.054724,0.800385,0.040617,8
0.222123,-2.028129,0.053216,0.058298,0.797047,0.043939,0.056026,0.790774,0.043098,9
0.261008,-3.181169,0.060305,0.05487,0.820217,0.040768,0.052957,0.813071,0.03979,10
0.19708,-1.383831,0.045709,0.054206,0.824541,0.040118,0.052844,0.813871,0.039609,11
51.609747,-163474.427076,0.386414,0.061798,0.771952,0.046468,0.058336,0.773165,0.044944,12
0.066507,0.728533,0.032163,0.057871,0.800012,0.043102,0.055283,0.796287,0.041999,13
0.037943,0.911639,0.027421,0.0572,0.804624,0.042602,0.054491,0.802085,0.041518,14
0.035259,0.9237,0.026319,0.056656,0.808323,0.042126,0.054145,0.804587,0.041254,15
0.033509,0.931084,0.02558,0.05613,0.811867,0.041679,0.053654,0.808117,0.04089,16
0.03295,0.933367,0.0252,0.055782,0.814189,0.041369,0.053375,0.810108,0.040659,17
