rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.421709,-4.713565,0.134901,0.107249,0.522524,0.082252,0.107588,0.55339,0.084732,1
0.114496,0.578824,0.090054,0.103776,0.55295,0.080097,0.10343,0.587246,0.080378,2
0.101232,0.670755,0.078359,0.104619,0.545662,0.080111,0.109848,0.534426,0.083092,3
0.097275,0.695992,0.073071,0.130623,0.291725,0.105539,0.155046,0.072476,0.111359,4
0.125622,0.492991,0.077398,0.10729,0.522159,0.082764,0.102831,0.592007,0.079092,5
0.132186,0.438626,0.084003,0.107668,0.518794,0.083828,0.104549,0.578266,0.080644,6
0.088343,0.74926,0.06463,0.106199,0.531833,0.081341,0.102439,0.595115,0.076756,7
0.089555,0.742331,0.058332,0.109388,0.503296,0.084059,0.105428,0.571144,0.07988,8
0.071306,0.836643,0.054046,0.108737,0.509191,0.082299,0.104005,0.58264,0.077189,9
0.066153,0.8594,0.050235,0.105488,0.538083,0.080678,0.10287,0.591701,0.076044,10
0.055994,0.899267,0.041963,0.102579,0.563206,0.076617,0.099744,0.616139,0.074104,11
0.04757,0.927297,0.035346,0.10217,0.566684,0.075927,0.100401,0.611068,0.074642,12
0.042824,0.941082,0.031083,0.102254,0.565966,0.075826,0.101146,0.605269,0.074966,13
0.038914,0.951349,0.027551,0.102333,0.565294,0.07577,0.101786,0.60026,0.075217,14
0.035629,0.959216,0.024574,0.10252,0.563708,0.075921,0.102361,0.595732,0.075341,15
0.032749,0.965543,0.021972,0.102685,0.562298,0.07621,0.102784,0.592384,0.075352,16
0.030239,0.970623,0.019725,0.102967,0.559894,0.076515,0.103156,0.58943,0.075427,17
0.028073,0.97468,0.017834,0.103065,0.559053,0.076729,0.103401,0.587471,0.075494,18
0.026243,0.977874,0.016219,0.103318,0.556887,0.077027,0.103599,0.585893,0.075613,19
0.024641,0.980493,0.014864,0.103552,0.554877,0.077297,0.103928,0.583257,0.075854,20
0.023277,0.982593,0.014872,0.103667,0.553888,0.077172,0.103807,0.584227,0.075843,21
