rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.146375,0.298942,0.111027,0.12917,0.266932,0.100421,0.126599,0.485073,0.097882,1
0.105431,0.636291,0.081534,0.12533,0.309861,0.09683,0.119725,0.539478,0.09278,2
0.087883,0.747284,0.06796,0.118822,0.379677,0.08909,0.109868,0.612183,0.083978,3
0.083806,0.770189,0.062064,0.115421,0.414682,0.086965,0.106111,0.638257,0.080051,4
0.067586,0.850538,0.051237,0.118121,0.386981,0.088909,0.107295,0.630134,0.082111,5
0.056112,0.896976,0.042694,0.114395,0.425043,0.085627,0.100479,0.675635,0.077191,6
0.048207,0.923959,0.036227,0.112972,0.439257,0.085831,0.100634,0.674635,0.076845,7
0.042615,0.940579,0.031607,0.117164,0.396867,0.091043,0.108049,0.624917,0.083396,8
0.039307,0.949445,0.028823,0.115672,0.412132,0.089685,0.107721,0.627191,0.082635,9
0.037114,0.954928,0.027429,0.11377,0.431307,0.086552,0.102996,0.659181,0.078526,10
0.03712,0.954914,0.027785,0.111643,0.452376,0.083243,0.096862,0.698568,0.071911,11
0.030248,0.970063,0.021984,0.111832,0.450516,0.083294,0.096896,0.698355,0.071377,12
0.026216,0.977512,0.018478,0.112013,0.448738,0.083375,0.096958,0.697969,0.071108,13
0.023637,0.981719,0.016154,0.112102,0.447863,0.083435,0.0967,0.699577,0.070721,14
0.021607,0.984724,0.014282,0.11206,0.448274,0.0833,0.096202,0.70266,0.070143,15
0.019996,0.986918,0.012703,0.112,0.448863,0.083168,0.095618,0.706262,0.069558,16
0.018647,0.988623,0.011346,0.11188,0.45004,0.08298,0.094908,0.710605,0.068949,17
0.017586,0.989881,0.01035,0.111725,0.451562,0.082793,0.09422,0.714788,0.068339,18
0.016668,0.990909,0.009459,0.111596,0.452832,0.082629,0.093543,0.718874,0.067737,19
0.015866,0.991763,0.008682,0.111509,0.453681,0.082577,0.093042,0.721873,0.067234,20
0.015537,0.992101,0.009601,0.110894,0.459698,0.081993,0.092096,0.727503,0.06655,21
0.014674,0.992954,0.008765,0.110933,0.45931,0.081948,0.09221,0.726826,0.066547,22
0.014059,0.993533,0.008091,0.110992,0.458735,0.081991,0.092353,0.725977,0.066568,23
0.013565,0.993979,0.007531,0.111056,0.458112,0.082027,0.092484,0.725198,0.066574,24
0.013143,0.994348,0.007049,0.111128,0.457416,0.082086,0.092612,0.724437,0.066577,25
0.012774,0.99466,0.006641,0.111196,0.456745,0.082142,0.092745,0.723646,0.066587,26
0.012439,0.994938,0.006272,0.111263,0.456096,0.082195,0.092892,0.72277,0.066616,27
0.01214,0.995177,0.005943,0.111326,0.455473,0.082237,0.093011,0.722059,0.066642,28
0.011857,0.9954,0.005649,0.1114,0.454757,0.082296,0.093121,0.721404,0.06667,29
0.011592,0.995603,0.005381,0.111464,0.454129,0.082342,0.093231,0.720741,0.066701,30
