EC_number,Type,Value,Substrate,enzymeType,Organism
1.1.1.1,km,0.28,NADPH,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.6,NADPH,wildtype,Yokenella sp.
1.1.1.1,km,0.001,NAD+,wildtype,Aeropyrum pernix
1.1.1.1,km,0.00694,NAD+,wildtype,Oryctolagus cuniculus
1.1.1.1,km,0.0074,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0074,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0079,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0079,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0087,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0087,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.011,NAD+,wildtype,Scaptodrosophila lebanonensis
1.1.1.1,km,0.013,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.013,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.02,NAD+,wildtype,Mycobacterium sp.
1.1.1.1,km,0.022,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.025,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.028,NAD+,wildtype,Scaptodrosophila lebanonensis
1.1.1.1,km,0.037,NAD+,wildtype,Zea mays
1.1.1.1,km,0.04,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.04,NAD+,wildtype,Acetobacter pasteurianus
1.1.1.1,km,0.044,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.05,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.05,NAD+,wildtype,Oenococcus oeni
1.1.1.1,km,0.0531,NAD+,wildtype,Oryctolagus cuniculus
1.1.1.1,km,0.057,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.059,NAD+,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,0.063,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.063,NAD+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.073,NAD+,wildtype,Zymomonas mobilis
1.1.1.1,km,0.074,NAD+,wildtype,Megalodesulfovibrio gigas
1.1.1.1,km,0.074,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.076,NAD+,wildtype,Meyerozyma guilliermondii
1.1.1.1,km,0.089,NAD+,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.099,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.1,NAD+,wildtype,Triticum monococcum
1.1.1.1,km,0.1,NAD+,wildtype,Triticum turgidum
1.1.1.1,km,0.1,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.1,NAD+,wildtype,Euglena gracilis
1.1.1.1,km,0.11,NAD+,wildtype,Zymomonas mobilis
1.1.1.1,km,0.115,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.12,NAD+,wildtype,Leifsonia sp.
1.1.1.1,km,0.125,NAD+,wildtype,Chlamydomonas moewusii
1.1.1.1,km,0.127,NAD+,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.13,NAD+,wildtype,Thermus sp.
1.1.1.1,km,0.136,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.155,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.17,NAD+,wildtype,Sporotrichum pulverulentum
1.1.1.1,km,0.18,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.18,NAD+,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.185,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.19,NAD+,wildtype,Drosophila simulans
1.1.1.1,km,0.195,NAD+,wildtype,Candida sp. (in: Saccharomycetales)
1.1.1.1,km,0.2,NAD+,wildtype,Drosophila virilis
1.1.1.1,km,0.2,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.2,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.2,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.224,NAD+,wildtype,Brassica napus
1.1.1.1,km,0.23,NAD+,wildtype,Coturnix coturnix
1.1.1.1,km,0.23,NAD+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.239,NAD+,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.24,NAD+,wildtype,Thermus thermophilus
1.1.1.1,km,0.24,NAD+,wildtype,Thermus thermophilus
1.1.1.1,km,0.25,NAD+,wildtype,Rattus norvegicus
1.1.1.1,km,0.26,NAD+,wildtype,Drosophila melanogaster
1.1.1.1,km,0.29,NAD+,wildtype,Haloferax volcanii
1.1.1.1,km,0.34,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.39,NAD+,wildtype,Euglena gracilis
1.1.1.1,km,0.44,NAD+,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.44,NAD+,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.45,NAD+,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.487,NAD+,wildtype,Candida sp. (in: Saccharomycetales)
1.1.1.1,km,0.5,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.5,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.5,NAD+,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.6,NAD+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.79,NAD+,wildtype,Magnusiomyces capitatus
1.1.1.1,km,0.9,NAD+,wildtype,Aspergillus nidulans
1.1.1.1,km,1.1,NAD+,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,1.1,NAD+,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,1.12,NAD+,wildtype,Crocus sativus
1.1.1.1,km,1.2,NAD+,wildtype,Acetobacter pasteurianus
1.1.1.1,km,1.51,NAD+,wildtype,Geobacillus thermodenitrificans
1.1.1.1,km,1.65,NAD+,wildtype,Arabidopsis thaliana
1.1.1.1,km,1.7,NAD+,wildtype,Pyrobaculum calidifontis
1.1.1.1,km,7.4,NAD+,wildtype,Homo sapiens
1.1.1.1,km,30.0,NAD+,wildtype,Hordeum vulgare
1.1.1.1,km,31.0,NAD+,wildtype,Hordeum vulgare
1.1.1.1,km,40.0,NAD+,wildtype,Oncorhynchus mykiss
1.1.1.1,km,51.7,NAD+,wildtype,Oryza sativa
1.1.1.1,km,60.0,NAD+,wildtype,Oncorhynchus mykiss
1.1.1.1,km,73.0,NAD+,wildtype,Hordeum vulgare
1.1.1.1,km,180.0,NAD+,wildtype,Homo sapiens
1.1.1.1,km,550.0,NAD+,wildtype,Aspergillus nidulans
1.1.1.1,km,710.0,NAD+,wildtype,Homo sapiens
1.1.1.1,km,0.0004,NADH,wildtype,Aeropyrum pernix
1.1.1.1,km,0.0017,NADH,wildtype,Rattus norvegicus
1.1.1.1,km,0.0025,NADH,wildtype,Homo sapiens
1.1.1.1,km,0.0035,NADH,wildtype,Thermus thermophilus
1.1.1.1,km,0.0051,NADH,wildtype,Coturnix coturnix
1.1.1.1,km,0.0064,NADH,wildtype,Homo sapiens
1.1.1.1,km,0.007,NADH,wildtype,Homo sapiens
1.1.1.1,km,0.01,NADH,wildtype,Thermus sp.
1.1.1.1,km,0.01,NADH,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.011,NADH,wildtype,Homo sapiens
1.1.1.1,km,0.012,NADH,wildtype,Zymomonas mobilis
1.1.1.1,km,0.013,NADH,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.016,NADH,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.02,NADH,wildtype,Megalodesulfovibrio gigas
1.1.1.1,km,0.021,NADH,wildtype,Sporotrichum pulverulentum
1.1.1.1,km,0.027,NADH,wildtype,Zymomonas mobilis
1.1.1.1,km,0.03,NADH,wildtype,Crocus sativus
1.1.1.1,km,0.03,NADH,wildtype,Acetobacter pasteurianus
1.1.1.1,km,0.03,NADH,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.03,NADH,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.035,NADH,wildtype,Thermus thermophilus
1.1.1.1,km,0.036,NADH,wildtype,Meyerozyma guilliermondii
1.1.1.1,km,0.036,NADH,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.038,NADH,wildtype,Parageobacillus thermoglucosidasius
1.1.1.1,km,0.04,NADH,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.04,NADH,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.048,NADH,wildtype,Leifsonia sp.
1.1.1.1,km,0.051,NADH,wildtype,Rattus norvegicus
1.1.1.1,km,0.062,NADH,wildtype,Parageobacillus thermoglucosidasius
1.1.1.1,km,0.071,NADH,wildtype,Rattus norvegicus
1.1.1.1,km,0.071,NADH,wildtype,Haloferax volcanii
1.1.1.1,km,0.072,NADH,wildtype,Pyrobaculum calidifontis
1.1.1.1,km,0.072,NADH,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.076,NADH,wildtype,Rattus norvegicus
1.1.1.1,km,0.085,NADH,wildtype,Zea mays
1.1.1.1,km,0.09,NADH,wildtype,Mycobacterium sp.
1.1.1.1,km,0.091,NADH,wildtype,Rattus norvegicus
1.1.1.1,km,0.097,NADH,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.105,NADH,wildtype,Homo sapiens
1.1.1.1,km,0.105,NADH,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.11,NADH,wildtype,Chlamydomonas moewusii
1.1.1.1,km,0.113,NADH,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.122,NADH,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,0.16,NADH,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.16,NADH,wildtype,Sulfolobus acidocaldarius
1.1.1.1,km,0.19,NADH,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.2,NADH,wildtype,Acetobacter pasteurianus
1.1.1.1,km,0.2,NADH,wildtype,Oenococcus oeni
1.1.1.1,km,0.35,NADH,wildtype,Aspergillus nidulans
1.1.1.1,km,0.87,NADH,wildtype,Magnusiomyces capitatus
1.1.1.1,km,1.4,NADH,wildtype,Geobacillus thermodenitrificans
1.1.1.1,km,6.4,NADH,wildtype,Homo sapiens
1.1.1.1,km,25.0,NADH,wildtype,Hordeum vulgare
1.1.1.1,km,31.1,NADH,wildtype,Oryza sativa
1.1.1.1,km,70.0,NADH,wildtype,Hordeum vulgare
1.1.1.1,km,105.0,NADH,wildtype,Homo sapiens
1.1.1.1,km,121.0,NADH,wildtype,Hordeum vulgare
1.1.1.1,km,260.0,NADH,wildtype,Homo sapiens
1.1.1.1,km,0.0051,NADP+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.066,NADP+,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.113,NADP+,wildtype,Thermococcus kodakarensis
1.1.1.1,km,0.28,NADP+,wildtype,Geobacillus thermodenitrificans
1.1.1.1,km,0.7,NADP+,wildtype,Yokenella sp.
1.1.1.1,km,7.4,NADP+,wildtype,Pyrococcus furiosus
1.1.1.1,km,0.0172,ethanol,wildtype,Sulfolobus sp.
1.1.1.1,km,0.022,ethanol,wildtype,Natronomonas pharaonis
1.1.1.1,km,0.022,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.049,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.049,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.056,ethanol,wildtype,Picrophilus torridus
1.1.1.1,km,0.06,ethanol,wildtype,Hafnia alvei
1.1.1.1,km,0.147,ethanol,wildtype,Flavobacterium frigidimaris
1.1.1.1,km,0.15,ethanol,wildtype,Megalodesulfovibrio gigas
1.1.1.1,km,0.166,ethanol,wildtype,Arabidopsis thaliana
1.1.1.1,km,0.168,ethanol,wildtype,Flavobacterium frigidimaris
1.1.1.1,km,0.18,ethanol,wildtype,Saimiri sciureus
1.1.1.1,km,0.19,ethanol,wildtype,Flavobacterium frigidimaris
1.1.1.1,km,0.248,ethanol,wildtype,Flavobacterium frigidimaris
1.1.1.1,km,0.26,ethanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.34,ethanol,wildtype,Natronomonas pharaonis
1.1.1.1,km,0.43,ethanol,wildtype,Flavobacterium frigidimaris
1.1.1.1,km,0.45,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.45,ethanol,wildtype,Oryctolagus cuniculus
1.1.1.1,km,0.45,ethanol,wildtype,Ogataea angusta
1.1.1.1,km,0.48,ethanol,wildtype,Mus musculus
1.1.1.1,km,0.5,ethanol,wildtype,Mesocricetus auratus
1.1.1.1,km,0.63,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.7,ethanol,wildtype,Oncorhynchus mykiss
1.1.1.1,km,0.7,ethanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.7,ethanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.76,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,0.76,ethanol,wildtype,Mesocricetus auratus
1.1.1.1,km,0.77,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.8,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,0.8,ethanol,wildtype,Saimiri sciureus
1.1.1.1,km,0.83,ethanol,wildtype,Mus musculus
1.1.1.1,km,0.84,ethanol,wildtype,Homo sapiens
1.1.1.1,km,0.91,ethanol,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.94,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.04,ethanol,wildtype,Flavobacterium frigidimaris
1.1.1.1,km,1.12,ethanol,wildtype,Bacillus subtilis
1.1.1.1,km,1.23,ethanol,wildtype,Alligator mississippiensis
1.1.1.1,km,1.3,ethanol,wildtype,Aspergillus nidulans
1.1.1.1,km,1.33,ethanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,1.37,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,1.4,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,1.41,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,1.5,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.6,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.64,ethanol,wildtype,Pseudomonas aeruginosa
1.1.1.1,km,1.7,ethanol,wildtype,Hordeum vulgare
1.1.1.1,km,1.7,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.7,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.8,ethanol,wildtype,Homo sapiens
1.1.1.1,km,1.87,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,2.1,ethanol,wildtype,Bacillus subtilis
1.1.1.1,km,2.3,ethanol,wildtype,Acetobacter pasteurianus
1.1.1.1,km,2.46,ethanol,wildtype,Equus caballus
1.1.1.1,km,2.5,ethanol,wildtype,Sporotrichum pulverulentum
1.1.1.1,km,2.95,ethanol,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,3.1,ethanol,wildtype,Euglena gracilis
1.1.1.1,km,3.2,ethanol,wildtype,Homo sapiens
1.1.1.1,km,3.2,ethanol,wildtype,Euglena gracilis
1.1.1.1,km,3.33,ethanol,wildtype,Oryctolagus cuniculus
1.1.1.1,km,3.5,ethanol,wildtype,Hordeum vulgare
1.1.1.1,km,3.6,ethanol,wildtype,Homo sapiens
1.1.1.1,km,4.0,ethanol,wildtype,Saimiri sciureus
1.1.1.1,km,4.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,4.2,ethanol,wildtype,Homo sapiens
1.1.1.1,km,4.2,ethanol,wildtype,Homo sapiens
1.1.1.1,km,4.6,ethanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,4.68,ethanol,wildtype,Meyerozyma guilliermondii
1.1.1.1,km,4.8,ethanol,wildtype,Zymomonas mobilis
1.1.1.1,km,5.0,ethanol,wildtype,Saimiri sciureus
1.1.1.1,km,5.1,ethanol,wildtype,Arabidopsis thaliana
1.1.1.1,km,5.11,ethanol,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,5.22,ethanol,wildtype,Drosophila simulans
1.1.1.1,km,5.38,ethanol,wildtype,Methylorubrum extorquens
1.1.1.1,km,5.7,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,5.7,ethanol,wildtype,Thermoplasma acidophilum
1.1.1.1,km,6.0,ethanol,wildtype,Scaptodrosophila lebanonensis
1.1.1.1,km,6.2,ethanol,wildtype,Scaptodrosophila lebanonensis
1.1.1.1,km,6.44,ethanol,wildtype,Drosophila virilis
1.1.1.1,km,6.66,ethanol,wildtype,Fragaria x ananassa
1.1.1.1,km,6.8,ethanol,wildtype,Corynebacterium glutamicum R
1.1.1.1,km,7.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,7.2,ethanol,wildtype,Hordeum vulgare
1.1.1.1,km,7.3,ethanol,wildtype,Acetobacter pasteurianus
1.1.1.1,km,7.55,ethanol,wildtype,Geobacillus thermodenitrificans
1.1.1.1,km,7.75,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,8.1,ethanol,wildtype,Coturnix coturnix
1.1.1.1,km,8.56,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,8.7,ethanol,wildtype,Klebsiella oxytoca
1.1.1.1,km,8.92,ethanol,wildtype,Drosophila melanogaster
1.1.1.1,km,9.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,9.03,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,10.4,ethanol,wildtype,Oenococcus oeni
1.1.1.1,km,10.6,ethanol,wildtype,Escherichia coli
1.1.1.1,km,10.6,ethanol,wildtype,Homo sapiens
1.1.1.1,km,12.0,ethanol,wildtype,Triticum monococcum
1.1.1.1,km,12.0,ethanol,wildtype,Triticum turgidum
1.1.1.1,km,12.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,12.1,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,13.0,ethanol,wildtype,Crocus sativus
1.1.1.1,km,13.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,13.7,ethanol,wildtype,Aeropyrum pernix
1.1.1.1,km,14.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,16.0,ethanol,wildtype,Glycine max
1.1.1.1,km,16.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,16.7,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,17.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,17.0,ethanol,wildtype,Kluyveromyces marxianus
1.1.1.1,km,18.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,20.0,ethanol,wildtype,Brassica napus
1.1.1.1,km,22.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,22.2,ethanol,wildtype,Chlamydomonas moewusii
1.1.1.1,km,24.0,ethanol,wildtype,Zea mays
1.1.1.1,km,24.2,ethanol,wildtype,Thermomicrobium roseum
1.1.1.1,km,25.0,ethanol,wildtype,Brassica napus
1.1.1.1,km,26.0,ethanol,wildtype,Kluyveromyces marxianus
1.1.1.1,km,27.0,ethanol,wildtype,Zymomonas mobilis
1.1.1.1,km,27.5,ethanol,wildtype,Hordeum vulgare
1.1.1.1,km,28.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,28.0,ethanol,wildtype,Mesocricetus auratus
1.1.1.1,km,29.9,ethanol,wildtype,Klebsiella pneumoniae
1.1.1.1,km,30.0,ethanol,wildtype,Brassica napus
1.1.1.1,km,31.0,ethanol,wildtype,Haloferax volcanii
1.1.1.1,km,33.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,36.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,39.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,39.7,ethanol,wildtype,Kluyveromyces marxianus
1.1.1.1,km,40.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,41.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,41.3,ethanol,wildtype,Brassica napus
1.1.1.1,km,42.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,47.3,ethanol,wildtype,Oryza sativa
1.1.1.1,km,49.5,ethanol,wildtype,Kluyveromyces marxianus
1.1.1.1,km,50.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,53.0,ethanol,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,64.0,ethanol,wildtype,Sporotrichum pulverulentum
1.1.1.1,km,118.0,ethanol,wildtype,Equus caballus
1.1.1.1,km,120.0,ethanol,wildtype,Homo sapiens
1.1.1.1,km,184.0,ethanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,255.0,ethanol,wildtype,Mus musculus
1.1.1.1,km,340.0,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,460.0,ethanol,wildtype,Citrobacter sp.
1.1.1.1,km,460.0,ethanol,wildtype,Citrobacter sp. S-77
1.1.1.1,km,1625.0,ethanol,wildtype,Mus musculus
1.1.1.1,km,5000.0,ethanol,wildtype,Rattus norvegicus
1.1.1.1,km,0.78,methanol,wildtype,Methylorubrum extorquens
1.1.1.1,km,3.04,methanol,wildtype,Corynebacterium glutamicum R
1.1.1.1,km,5.0,methanol,wildtype,Alligator mississippiensis
1.1.1.1,km,9.69,methanol,wildtype,Fragaria x ananassa
1.1.1.1,km,10.4,methanol,wildtype,Homo sapiens
1.1.1.1,km,12.0,methanol,wildtype,Saimiri sciureus
1.1.1.1,km,14.0,methanol,wildtype,Saimiri sciureus
1.1.1.1,km,27.0,methanol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,150.0,methanol,wildtype,Homo sapiens
1.1.1.1,km,294.23,methanol,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.0086,acetaldehyde,wildtype,Sporotrichum pulverulentum
1.1.1.1,km,0.013,acetaldehyde,wildtype,Natronomonas pharaonis
1.1.1.1,km,0.053,acetaldehyde,wildtype,Aspergillus nidulans
1.1.1.1,km,0.059,acetaldehyde,wildtype,Natronomonas pharaonis
1.1.1.1,km,0.085,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.085,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.086,acetaldehyde,wildtype,Zymomonas mobilis
1.1.1.1,km,0.1,acetaldehyde,wildtype,Saimiri sciureus
1.1.1.1,km,0.194,acetaldehyde,wildtype,Meyerozyma guilliermondii
1.1.1.1,km,0.217,acetaldehyde,wildtype,Rattus norvegicus
1.1.1.1,km,0.22,acetaldehyde,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,0.23,acetaldehyde,wildtype,Rattus norvegicus
1.1.1.1,km,0.24,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.24,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.24,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.276,acetaldehyde,wildtype,Rattus norvegicus
1.1.1.1,km,0.3,acetaldehyde,wildtype,Acetobacter pasteurianus
1.1.1.1,km,0.31,acetaldehyde,wildtype,Rattus norvegicus
1.1.1.1,km,0.33,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.34,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,0.364,acetaldehyde,wildtype,Geobacillus stearothermophilus
1.1.1.1,km,0.6,acetaldehyde,wildtype,Petroselinum crispum
1.1.1.1,km,0.67,acetaldehyde,wildtype,Ogataea angusta
1.1.1.1,km,0.74,acetaldehyde,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,0.92,acetaldehyde,wildtype,Corynebacterium glutamicum R
1.1.1.1,km,1.2,acetaldehyde,wildtype,Kluyveromyces marxianus
1.1.1.1,km,1.25,acetaldehyde,wildtype,Chlamydomonas moewusii
1.1.1.1,km,1.25,acetaldehyde,wildtype,Hordeum vulgare
1.1.1.1,km,1.3,acetaldehyde,wildtype,Zymomonas mobilis
1.1.1.1,km,1.45,acetaldehyde,wildtype,Hordeum vulgare
1.1.1.1,km,1.8,acetaldehyde,wildtype,Megalodesulfovibrio gigas
1.1.1.1,km,1.9,acetaldehyde,wildtype,Crocus sativus
1.1.1.1,km,2.6,acetaldehyde,wildtype,Oenococcus oeni
1.1.1.1,km,2.83,acetaldehyde,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,3.4,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,4.0,acetaldehyde,wildtype,Kluyveromyces marxianus
1.1.1.1,km,4.3,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,4.71,acetaldehyde,wildtype,Geobacillus thermodenitrificans
1.1.1.1,km,6.0,acetaldehyde,wildtype,Equus caballus
1.1.1.1,km,6.0,acetaldehyde,wildtype,Equus caballus
1.1.1.1,km,7.05,acetaldehyde,wildtype,Oryza sativa
1.1.1.1,km,7.43,acetaldehyde,wildtype,Citrobacter sp. S-77
1.1.1.1,km,11.5,acetaldehyde,wildtype,Saimiri sciureus
1.1.1.1,km,12.7,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,24.0,acetaldehyde,wildtype,Acetobacter pasteurianus
1.1.1.1,km,26.0,acetaldehyde,wildtype,Homo sapiens
1.1.1.1,km,28.0,acetaldehyde,wildtype,Haloferax volcanii
1.1.1.1,km,34.0,acetaldehyde,wildtype,Parageobacillus thermoglucosidasius
1.1.1.1,km,85.0,acetaldehyde,wildtype,Zea mays
1.1.1.1,km,121.0,acetaldehyde,wildtype,Parageobacillus thermoglucosidasius
1.1.1.1,km,4.46,formaldehyde,wildtype,Methylorubrum extorquens
1.1.1.1,km,37.65,formaldehyde,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,50.0,formaldehyde,wildtype,Megalodesulfovibrio gigas
1.1.1.1,km,2.58,glycerol,wildtype,Methylorubrum extorquens
1.1.1.1,km,18.6,glycerol,wildtype,Fragaria x ananassa
1.1.1.1,km,0.03,benzaldehyde,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.03,benzaldehyde,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.148,benzaldehyde,wildtype,Equus caballus
1.1.1.1,km,0.2,benzaldehyde,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.3,benzaldehyde,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.3,benzaldehyde,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.333,benzaldehyde,wildtype,Aeropyrum pernix
1.1.1.1,km,0.4,benzaldehyde,wildtype,Yokenella sp.
1.1.1.1,km,3.0,benzaldehyde,wildtype,Saccharomyces pastorianus
1.1.1.1,km,14.0,benzaldehyde,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,33.0,benzaldehyde,wildtype,Saccharomyces cerevisiae
1.1.1.1,km,0.007,benzyl alcohol,wildtype,Homo sapiens
1.1.1.1,km,0.012,benzyl alcohol,wildtype,Brevibacterium sp.
1.1.1.1,km,0.013,benzyl alcohol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.013,benzyl alcohol,wildtype,Coturnix coturnix
1.1.1.1,km,0.046,benzyl alcohol,wildtype,Equus caballus
1.1.1.1,km,0.05,benzyl alcohol,wildtype,Rattus norvegicus
1.1.1.1,km,0.15,benzyl alcohol,wildtype,Homo sapiens
1.1.1.1,km,0.26,benzyl alcohol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.26,benzyl alcohol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,0.8,benzyl alcohol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,1.4,benzyl alcohol,wildtype,Rattus norvegicus
1.1.1.1,km,2.0,benzyl alcohol,wildtype,Saccharolobus solfataricus
1.1.1.1,km,5.43,benzyl alcohol,wildtype,Aeropyrum pernix
1.1.1.1,km,6.8,benzyl alcohol,wildtype,Geobacillus stearothermophilus
